symbole;date;ouverture;haut;bas;cloture;volume
ABJC.ci;01/04/2025;1790;1790;1780;1780;4204
ABJC.ci;01/05/2025;1765;1765;1750;1750;919
ABJC.ci;01/07/2024;2005;2020;2005;2020;1991
ABJC.ci;01/07/2025;1725;1725;1700;1700;545
ABJC.ci;01/08/2024;2250;2250;2230;2230;661
ABJC.ci;01/10/2024;2300;2300;2300;2300;739
ABJC.ci;01/11/2024;2200;2200;2200;2200;137
ABJC.ci;02/04/2025;1780;1780;1780;1780;2111
ABJC.ci;02/05/2025;1620;1700;1620;1700;4716
ABJC.ci;02/06/2025;1600;1600;1600;1600;360
ABJC.ci;02/07/2024;2020;2020;2020;2020;1935
ABJC.ci;02/07/2025;1655;1670;1655;1670;1396
ABJC.ci;02/08/2024;2210;2210;2170;2170;628
ABJC.ci;02/09/2024;2795;2795;2790;2790;676
ABJC.ci;02/10/2024;2300;2300;2300;2300;202
ABJC.ci;02/12/2024;1845;1980;1845;1980;269
ABJC.ci;03/02/2025;1835;1835;1835;1835;104
ABJC.ci;03/03/2025;1880;1880;1875;1875;1177
ABJC.ci;03/04/2025;1780;1780;1780;1780;500
ABJC.ci;03/06/2025;1590;1600;1590;1600;8141
ABJC.ci;03/07/2024;2030;2075;2030;2075;961
ABJC.ci;03/07/2025;1700;1720;1700;1720;1871
ABJC.ci;03/09/2024;2830;2900;2830;2900;958
ABJC.ci;03/10/2024;2295;2300;2295;2300;2817
ABJC.ci;03/12/2024;1950;1950;1950;1950;7226
ABJC.ci;04/02/2025;1835;1835;1835;1835;1001
ABJC.ci;04/03/2025;1760;1825;1760;1825;1258
ABJC.ci;04/04/2025;1795;1795;1780;1780;898
ABJC.ci;04/06/2025;1600;1660;1600;1660;10214
ABJC.ci;04/07/2024;2075;2080;2075;2080;2704
ABJC.ci;04/07/2025;1785;1785;1710;1710;895
ABJC.ci;04/09/2024;2840;2840;2800;2800;250
ABJC.ci;04/10/2024;2220;2220;2200;2200;720
ABJC.ci;04/11/2024;2195;2195;2035;2035;5309
ABJC.ci;04/12/2024;1950;1980;1950;1980;899
ABJC.ci;05/02/2025;1835;1835;1835;1835;107
ABJC.ci;05/03/2025;1800;1825;1800;1825;231
ABJC.ci;05/05/2025;1700;1700;1635;1635;918
ABJC.ci;05/06/2025;1600;1660;1600;1660;6087
ABJC.ci;05/07/2024;2080;2080;2080;2080;1224
ABJC.ci;05/08/2024;2170;2170;2170;2170;5804
ABJC.ci;05/09/2024;2750;2750;2750;2750;478
ABJC.ci;05/11/2024;2030;2030;2020;2020;1027
ABJC.ci;05/12/2024;1980;1980;1840;1840;864
ABJC.ci;06/02/2025;1835;1835;1835;1835;100
ABJC.ci;06/03/2025;1875;1875;1870;1870;204
ABJC.ci;06/05/2025;1630;1635;1630;1635;968
ABJC.ci;06/08/2024;2170;2170;2170;2170;3358
