ABJC.ci.csv,BICB.bj.csv,BICC.ci.csv,BNBC.ci.csv,BOABF.bf.csv,BOAC.ci.csv,BOAM.ml.csv,BOAN.ne.csv,BOAS.sn.csv,CABC.ci.csv,CBIBF.bf.csv,CFAC.ci.csv,CIEC.ci.csv,ECOC.ci.csv,ETIT.tg.csv,NEIC.ci.csv,NSBC.ci.csv,NTLC.ci.csv,ONTBF.bf.csv,PALC.ci.csv,PRSC.ci.csv,SAFC.ci.csv,SCRC.ci.csv,SDCC.ci.csv,SGBC.ci.csv,SHEC.ci.csv,SICC.ci.csv,SIVC.ci.csv,SLBC.ci.csv,SOGC.ci.csv,STAC.ci.csv,STBC.ci.csv,UNLC.ci.csv,UNXC.ci.csv,date
1780,5495.0,15900.0,1000.0,4200,6010,2350,2770,3935,1340,10500,615,2580,9860,15,730.0,8300,9950,2750,6350,2000.0,800.0,995,6600,21895,950,3645.0,1000,14500,5390,585.0,9995.0,10275.0,400,01/02/2010
1750,5295.0,15400.0,1020.0,3250,6100,2500,2590,4150,1380,9500,600,2390,9800,16,595.0,7950,9990,2490,6300,1935.0,660.0,960,6400,21900,930,3290.0,1000,13800,5945,695.0,9695.0,18180.0,420,01/03/2010
2020,5600.0,10000.0,945.0,3400,3720,"1066,6666666666667","3309,375","2593,3333333333335",1075,10600,685,1995,6990,17,795.0,6295,7500,2785,6215,2150.0,980.0,475,5330,19105,860,3310.0,999,16820,3600,560.0,7195.0,6500.0,420,01/04/2010
1700,5350.0,16580.0,1150.0,3500,6100,3000,2455,4280,1185,10245,660,2525,11840,18,595.0,10200,11150,2635,8150,2500.0,690.0,950,6100,25000,1075,2825.0,500,11795,8150,770.0,17905.0,11000.0,580,01/04/2025
2230,5285.0,9740.0,1080.0,3275,4200,"1396,6666666666667",3250,"3226,6666666666665",955,10200,670,1900,7410,16,775.0,5995,7500,2655,5540,2540.0,860.0,540,5200,20470,810,3225.0,500,15500,3990,700.0,6700.0,18440.0,430,01/05/2025
2300,5350.0,10750.0,1075.0,3745,4425,1800,3350,3800,955,9985,650,2200,8795,17,780.0,6400,7000,2485,4770,2275.0,870.0,690,5500,19300,850,3450.0,500,13950,3940,650.0,7445.0,6500.0,420,01/07/2024
2200,5250.0,10805.0,1155.0,3390,5700,2045,3200,3900,1100,10000,650,2355,8550,16,790.0,7805,7875,2390,4695,1985.0,790.0,860,5500,19800,895,3145.0,525,13800,4460,545.0,7000.0,6405.0,440,01/07/2025
1780,5340.0,15700.0,1060.0,4235,6090,2400,2770,3930,1240,10800,610,2710,9900,15,730.0,8250,9950,2740,6085,2000.0,700.0,995,6570,21895,950,3545.0,575,16900,5400,595.0,9990.0,7850.0,395,01/08/2024
1700,5200.0,15400.0,1020.0,3210,6100,2580,2550,4200,1375,9700,600,2335,9850,16,595.0,8095,9940,2480,6340,2080.0,690.0,975,6270,21890,930,3000.0,525,17290,6100,540.0,9500.0,6450.0,450,01/10/2024
1600,5350.0,16050.0,1060.0,3550,5950,2550,2600,3990,1190,10100,655,2395,11000,18,550.0,8985,10700,2575,6800,2440.0,975.0,1000,6300,21850,970,2825.0,520,12005,7180,690.0,18485.0,11265.0,505,01/11/2024
2020,5350.0,9900.0,1000.0,3350,"3747,5","1046,6666666666667","3309,375","2566,6666666666665",1060,10600,685,2000,7000,17,810.0,6300,7390,2795,6245,2155.0,650.0,500,5325,19425,885,3940.0,1000,14000,3600,560.0,7195.0,6500.0,450,02/02/2010
1670,5390.0,16700.0,1200.0,3425,6120,3040,2405,4250,1195,10145,680,2525,11500,17,600.0,10200,11345,2650,8350,2600.0,860.0,980,6050,25000,1075,3640.0,990,13800,8200,725.0,17950.0,18440.0,585,02/03/2010
2170,5350.0,9740.0,1080.0,3300,4230,"1396,6666666666667","3281,25","3226,6666666666665",980,10150,680,1910,7410,17,770.0,5980,7790,2600,5440,2600.0,965.0,530,5400,20490,810,3440.0,999,14995,3850,685.0,6700.0,7845.0,430,02/04/2010
2790,5200.0,10100.0,1455.0,4175,4225,1770,"3268,75",3620,980,9980,670,2050,7555,17,730.0,6495,7050,2690,5000,2590.0,805.0,495,5965,20300,910,3145.0,505,14495,3800,700.0,6900.0,11265.0,420,02/04/2025
2300,5220.0,11100.0,1150.0,3500,4475,1750,3300,3800,1025,9990,635,2215,8700,17,770.0,6400,7000,2450,4780,2160.0,700.0,690,5500,19375,845,3535.0,505,16900,3940,540.0,7300.0,6500.0,420,02/05/2025
1980,5150.0,13485.0,1200.0,3180,4800,1995,2720,3200,1170,9985,620,2140,8500,16,780.0,7445,7985,2300,4525,1850.0,815.0,830,5890,19600,855,3635.0,550,17975,4600,490.0,7295.0,6405.0,390,02/06/2025
1835,5595.0,16000.0,1025.0,3195,4695,1705,2200,2740,1100,9800,550,2180,8400,15,745.0,7650,8400,2275,4850,1880.0,795.0,740,5950,20800,870,3440.0,500,12905,4375,595.0,7500.0,7800.0,385,02/07/2024
