symbole;date;ouverture;haut;bas;cloture;volume
BICB.bj;01/05/2025;5600;5600;5495;5495;897
BICB.bj;01/07/2025;5050;5295;5050;5295;5640
BICB.bj;02/05/2025;5300;5600;5300;5600;11767
BICB.bj;02/06/2025;5350;5350;5350;5350;1289
BICB.bj;02/07/2025;5290;5290;5285;5285;1838
BICB.bj;03/06/2025;5350;5350;5350;5350;601
BICB.bj;03/07/2025;5100;5250;5100;5250;571
BICB.bj;04/06/2025;5340;5340;5340;5340;1287
BICB.bj;04/07/2025;5250;5250;5200;5200;4331
BICB.bj;05/05/2025;5500;5500;5350;5350;606
BICB.bj;05/06/2025;5300;5350;5300;5350;2156
BICB.bj;06/05/2025;5500;5500;5390;5390;2640
BICB.bj;07/05/2025;5205;5350;5205;5350;2069
BICB.bj;07/07/2025;5150;5200;5150;5200;1392
BICB.bj;08/05/2025;5340;5340;5220;5220;12670
BICB.bj;08/07/2025;5200;5200;5150;5150;12302
BICB.bj;09/05/2025;5320;5595;5320;5595;11998
BICB.bj;09/07/2025;5100;5250;5100;5250;7236
BICB.bj;10/06/2025;5300;5730;5300;5730;11541
BICB.bj;10/07/2025;5245;5245;5240;5240;962
BICB.bj;11/06/2025;5410;5600;5410;5600;3273
BICB.bj;11/07/2025;5225;5350;5225;5350;6666
BICB.bj;12/05/2025;5400;5450;5400;5450;876
BICB.bj;12/06/2025;5600;5600;5550;5550;446
BICB.bj;13/05/2025;5400;5400;5400;5400;3164
BICB.bj;13/06/2025;5550;5595;5550;5595;1143
BICB.bj;14/05/2025;5400;5400;5400;5400;3186
BICB.bj;14/07/2025;5335;5335;5295;5295;359
BICB.bj;15/05/2025;5400;5400;5400;5400;364
BICB.bj;16/05/2025;5310;5450;5310;5450;5256
BICB.bj;16/06/2025;5415;5600;5415;5600;433
BICB.bj;17/06/2025;5650;5650;5500;5500;1854
BICB.bj;18/06/2025;5500;5500;5500;5500;1794
BICB.bj;19/05/2025;5400;5400;5395;5395;796
BICB.bj;19/06/2025;5500;5595;5500;5595;3675
BICB.bj;20/05/2025;5375;5375;5340;5340;989
BICB.bj;20/06/2025;5595;5600;5595;5600;2138
BICB.bj;21/05/2025;5330;5330;5330;5330;2541
BICB.bj;22/05/2025;5205;5225;5205;5225;3145
BICB.bj;23/05/2025;5205;5300;5205;5300;6088
BICB.bj;23/06/2025;5600;5600;5595;5595;1468
BICB.bj;24/06/2025;5595;5595;5500;5500;2198
BICB.bj;25/06/2025;5500;5500;5450;5450;663
BICB.bj;26/05/2025;5245;5300;5245;5300;16339
BICB.bj;26/06/2025;5450;5500;5450;5500;2932
BICB.bj;27/05/2025;5225;5350;5225;5350;790
BICB.bj;27/06/2025;5445;5445;5445;5445;5610
BICB.bj;28/04/2025;5600;5600;5600;5600;4977
BICB.bj;28/05/2025;5350;5355;5350;5355;1762
BICB.bj;29/04/2025;5600;5610;5600;5610;5036
BICB.bj;29/05/2025;5350;5355;5350;5355;1762
BICB.bj;30/04/2025;5600;5600;5495;5495;897
BICB.bj;30/05/2025;5345;5350;5345;5350;1938
BICB.bj;30/06/2025;5040;5340;5040;5340;7468
