symbole;date;ouverture;haut;bas;cloture;volume
BICC.ci;01/04/2025;15950;15950;15900;15900;175
BICC.ci;01/05/2025;15945;15945;15400;15400;29
BICC.ci;01/07/2024;10640;10640;10000;10000;563
BICC.ci;01/07/2025;16580;16580;16580;16580;101
BICC.ci;01/08/2024;9700;9740;9700;9740;67
BICC.ci;01/10/2024;10750;10750;10750;10750;100
BICC.ci;01/11/2024;10805;10805;10805;10805;457
BICC.ci;02/04/2025;15900;15900;15700;15700;344
BICC.ci;02/05/2025;15400;15400;15400;15400;114
BICC.ci;02/06/2025;17000;17000;16050;16050;59
BICC.ci;02/07/2024;10000;10000;9900;9900;1660
BICC.ci;02/07/2025;16700;16700;16700;16700;310
BICC.ci;02/08/2024;9750;9750;9740;9740;1397
BICC.ci;02/09/2024;10100;10100;10100;10100;287
BICC.ci;02/10/2024;11000;11100;11000;11100;956
BICC.ci;02/12/2024;13490;13490;13485;13485;43
BICC.ci;03/02/2025;16000;16000;16000;16000;9
BICC.ci;03/03/2025;16000;16000;16000;16000;56
BICC.ci;03/04/2025;15600;15800;15600;15800;55
BICC.ci;03/06/2025;16100;16100;16000;16000;293
BICC.ci;03/07/2024;9900;9925;9900;9925;25
BICC.ci;03/07/2025;16700;16700;16700;16700;64
BICC.ci;03/09/2024;10100;10100;10100;10100;27
BICC.ci;03/10/2024;11000;11100;11000;11100;177
BICC.ci;03/12/2024;13485;13485;13485;13485;518
BICC.ci;04/02/2025;16000;16000;15995;15995;687
BICC.ci;04/03/2025;15995;15995;15995;15995;400
BICC.ci;04/04/2025;15800;15800;15700;15700;122
BICC.ci;04/06/2025;16000;16900;16000;16900;126
BICC.ci;04/07/2024;9185;9200;9185;9200;161
BICC.ci;04/07/2025;16700;16700;16265;16265;4122
BICC.ci;04/09/2024;10100;10100;10100;10100;239
BICC.ci;04/10/2024;11100;11100;11100;11100;96
BICC.ci;04/11/2024;11615;11615;11615;11615;3163
BICC.ci;04/12/2024;13485;13500;13485;13500;335
BICC.ci;05/02/2025;16000;16000;16000;16000;34
BICC.ci;05/03/2025;15800;15800;15800;15800;31
BICC.ci;05/05/2025;15400;15400;15400;15400;106
