symbole;date;ouverture;haut;bas;cloture;volume
BNBC.ci;01/04/2025;1060;1060;1000;1000;998
BNBC.ci;01/05/2025;1020;1020;1020;1020;20
BNBC.ci;01/07/2024;1000;1000;945;945;215
BNBC.ci;01/07/2025;1200;1200;1150;1150;1351
BNBC.ci;01/08/2024;1080;1080;1080;1080;284
BNBC.ci;01/10/2024;1075;1075;1075;1075;101
BNBC.ci;01/11/2024;1155;1155;1155;1155;5
BNBC.ci;02/04/2025;1060;1060;1060;1060;67
BNBC.ci;02/05/2025;955;1020;955;1020;2334
BNBC.ci;02/06/2025;1145;1145;1060;1060;2076
BNBC.ci;02/07/2024;1000;1000;1000;1000;220
BNBC.ci;02/07/2025;1200;1200;1200;1200;631
BNBC.ci;02/08/2024;1020;1080;1020;1080;503
BNBC.ci;02/09/2024;1455;1455;1455;1455;612
BNBC.ci;02/10/2024;1075;1150;1075;1150;82
BNBC.ci;02/12/2024;1200;1200;1200;1200;177
BNBC.ci;03/02/2025;1000;1025;1000;1025;32
BNBC.ci;03/03/2025;1055;1110;1055;1110;1486
BNBC.ci;03/06/2025;1060;1100;1060;1100;328
BNBC.ci;03/07/2024;960;1000;960;1000;46
BNBC.ci;03/07/2025;1200;1230;1200;1230;211
BNBC.ci;03/09/2024;1455;1560;1455;1560;378
BNBC.ci;03/10/2024;1145;1145;1145;1145;20
BNBC.ci;03/12/2024;1200;1200;1200;1200;73
BNBC.ci;04/02/2025;1020;1020;1020;1020;101
BNBC.ci;04/03/2025;1110;1110;1100;1100;164
BNBC.ci;04/04/2025;1045;1045;1040;1040;1024
BNBC.ci;04/06/2025;1100;1100;1060;1060;173
BNBC.ci;04/07/2024;1000;1000;1000;1000;17
BNBC.ci;04/07/2025;1230;1320;1230;1320;1194
BNBC.ci;04/09/2024;1600;1600;1590;1590;434
BNBC.ci;04/10/2024;1145;1150;1145;1150;151
BNBC.ci;04/11/2024;1140;1140;1140;1140;1
BNBC.ci;04/12/2024;1190;1190;1110;1110;224
BNBC.ci;05/02/2025;1020;1020;1020;1020;89
BNBC.ci;05/03/2025;1020;1110;1020;1110;119
BNBC.ci;05/05/2025;1060;1060;1000;1000;623
BNBC.ci;05/06/2025;1135;1135;1135;1135;1003
BNBC.ci;05/07/2024;1000;1000;1000;1000;17
BNBC.ci;05/08/2024;1000;1005;1000;1005;551
BNBC.ci;05/09/2024;1585;1585;1560;1560;354
BNBC.ci;05/11/2024;1135;1135;1135;1135;292
BNBC.ci;05/12/2024;1110;1160;1110;1160;1172
BNBC.ci;06/02/2025;1015;1020;1015;1020;240
BNBC.ci;06/03/2025;1100;1100;1100;1100;315
BNBC.ci;06/05/2025;1050;1050;1025;1025;112
BNBC.ci;06/08/2024;1010;1010;1010;1010;40
BNBC.ci;06/09/2024;1500;1500;1450;1450;186
BNBC.ci;06/11/2024;1140;1140;1135;1135;73
BNBC.ci;06/12/2024;1150;1150;1150;1150;3
BNBC.ci;07/02/2025;1025;1060;1025;1060;1539
BNBC.ci;07/03/2025;1020;1075;1020;1075;1158
BNBC.ci;07/04/2025;1040;1040;1040;1040;10
BNBC.ci;07/05/2025;1060;1060;1000;1000;159
BNBC.ci;07/07/2025;1320;1400;1320;1400;477
BNBC.ci;07/08/2024;1010;1010;1010;1010;40
BNBC.ci;07/10/2024;1145;1150;1145;1150;354
BNBC.ci;07/11/2024;1150;1155;1150;1155;128
BNBC.ci;08/04/2025;1040;1040;1000;1000;210
BNBC.ci;08/05/2025;1000;1000;970;970;2353
BNBC.ci;08/07/2024;1000;1000;995;995;917
BNBC.ci;08/07/2025;1400;1400;1300;1300;967
BNBC.ci;08/08/2024;1010;1085;1010;1085;134
BNBC.ci;08/10/2024;1145;1150;1145;1150;305
BNBC.ci;08/11/2024;1135;1135;1100;1100;27
BNBC.ci;09/04/2025;1000;1000;925;925;3014
BNBC.ci;09/05/2025;1040;1040;1000;1000;9428
BNBC.ci;09/07/2024;950;950;950;950;195
BNBC.ci;09/07/2025;1230;1265;1230;1265;9
BNBC.ci;09/08/2024;1085;1085;1060;1060;260
BNBC.ci;09/09/2024;1450;1450;1450;1450;182
BNBC.ci;09/10/2024;1150;1150;1070;1070;543
BNBC.ci;09/12/2024;1145;1150;1145;1150;28
BNBC.ci;10/02/2025;985;985;985;985;43
BNBC.ci;10/03/2025;1075;1075;1055;1055;8120
BNBC.ci;10/04/2025;925;925;925;925;10
BNBC.ci;10/06/2025;1135;1150;1135;1150;2286
BNBC.ci;10/07/2024;950;995;950;995;1117
