symbole;date;ouverture;haut;bas;cloture;volume
BOABF.bf;01/04/2025;4245;4245;4200;4200;11285
BOABF.bf;01/05/2025;3245;3250;3245;3250;7037
BOABF.bf;01/07/2024;3350;3400;3350;3400;314
BOABF.bf;01/07/2025;3500;3500;3500;3500;6460
BOABF.bf;01/08/2024;3252,5;3275;3252,5;3275;9502
BOABF.bf;01/10/2024;3700;3745;3700;3745;4316
BOABF.bf;01/11/2024;3400;3400;3390;3390;273
BOABF.bf;02/04/2025;4245;4245;4235;4235;2447
BOABF.bf;02/05/2025;3250;3250;3210;3210;7142
BOABF.bf;02/06/2025;3620;3620;3550;3550;2958
BOABF.bf;02/07/2024;3350;3350;3350;3350;306
BOABF.bf;02/07/2025;3500;3500;3425;3425;2752
BOABF.bf;02/08/2024;3300;3300;3300;3300;22608
BOABF.bf;02/09/2024;4000;4175;4000;4175;2523
BOABF.bf;02/10/2024;3500;3500;3500;3500;2800
BOABF.bf;02/12/2024;3190;3190;3180;3180;616
BOABF.bf;03/02/2025;3180;3195;3180;3195;310
BOABF.bf;03/03/2025;3500;3520;3500;3520;15679
BOABF.bf;03/04/2025;4200;4200;4200;4200;2557
BOABF.bf;03/06/2025;3555;3630;3555;3630;850
BOABF.bf;03/07/2024;3350;3372,5;3350;3372,5;520
BOABF.bf;03/07/2025;3500;3500;3500;3500;1041
BOABF.bf;03/09/2024;4150;4150;4095;4095;3047
BOABF.bf;03/10/2024;3745;3745;3500;3500;2377
BOABF.bf;03/12/2024;3180;3180;3000;3000;1226
BOABF.bf;04/02/2025;3200;3200;3200;3200;900
BOABF.bf;04/03/2025;3780;3780;3780;3780;6971
BOABF.bf;04/04/2025;4200;4200;4190;4190;8503
BOABF.bf;04/06/2025;3630;3735;3630;3735;6213
BOABF.bf;04/07/2024;3372,5;3412,5;3372,5;3412,5;1148
BOABF.bf;04/07/2025;3495;3500;3495;3500;6853
BOABF.bf;04/09/2024;4100;4100;4095;4095;4164
BOABF.bf;04/10/2024;3500;3500;3500;3500;14227
BOABF.bf;04/11/2024;3390;3390;3350;3350;905
BOABF.bf;04/12/2024;3000;3000;2950;2950;13074
BOABF.bf;05/02/2025;3180;3300;3180;3300;198
BOABF.bf;05/03/2025;4060;4060;4060;4060;10725
BOABF.bf;05/05/2025;3150;3250;3150;3250;12803
BOABF.bf;05/06/2025;3750;3750;3735;3735;297
BOABF.bf;05/07/2024;3377,5;3377,5;3310;3310;5288
BOABF.bf;05/08/2024;3300;3300;3250;3250;9108
BOABF.bf;05/09/2024;4100;4100;3950;3950;2541
BOABF.bf;05/11/2024;3345;3345;3300;3300;520
BOABF.bf;05/12/2024;2950;2950;2910;2910;3005
BOABF.bf;06/02/2025;3300;3350;3300;3350;1944
BOABF.bf;06/03/2025;4360;4360;4200;4200;41933
BOABF.bf;06/05/2025;3265;3375;3265;3375;3156
BOABF.bf;06/08/2024;3297,5;3297,5;3295;3295;2852
BOABF.bf;06/09/2024;3950;3950;3900;3900;6015
BOABF.bf;06/11/2024;3300;3305;3300;3305;316
BOABF.bf;06/12/2024;2950;2950;2910;2910;1124
BOABF.bf;07/02/2025;3390;3390;3390;3390;2342
BOABF.bf;07/03/2025;4205;4210;4205;4210;4393
BOABF.bf;07/04/2025;4195;4205;4195;4205;11160
BOABF.bf;07/05/2025;3375;3375;3250;3250;3301
BOABF.bf;07/07/2025;3500;3500;3400;3400;1590
BOABF.bf;07/08/2024;3297,5;3297,5;3295;3295;2852
BOABF.bf;07/10/2024;3500;3500;3500;3500;2242
BOABF.bf;07/11/2024;3310;3310;3300;3300;846
BOABF.bf;08/04/2025;4225;4295;4225;4295;2710
BOABF.bf;08/05/2025;3250;3250;3225;3225;5902
BOABF.bf;08/07/2024;3410;3412,5;3410;3412,5;662
BOABF.bf;08/07/2025;3450;3450;3420;3420;1156
BOABF.bf;08/08/2024;3300;3300;3252,5;3252,5;13396
BOABF.bf;08/10/2024;3495;3495;3420;3420;1062
BOABF.bf;08/11/2024;3310;3310;3210;3210;666
BOABF.bf;09/04/2025;4295;4310;4295;4310;22878
BOABF.bf;09/05/2025;3225;3230;3225;3230;5421
BOABF.bf;09/07/2024;3412,5;3412,5;3412,5;3412,5;502
BOABF.bf;09/07/2025;3420;3480;3420;3480;9698
BOABF.bf;09/08/2024;3275;3275;3250;3250;13208
BOABF.bf;09/09/2024;3945;3945;3800;3800;1347
BOABF.bf;09/10/2024;3500;3500;3420;3420;1561
BOABF.bf;09/12/2024;2905;3000;2905;3000;903
BOABF.bf;10/02/2025;3395;3395;3375;3375;4475
BOABF.bf;10/03/2025;4215;4250;4215;4250;6889
BOABF.bf;10/04/2025;4305;4310;4305;4310;34487
BOABF.bf;10/06/2025;3700;3800;3700;3800;6982
BOABF.bf;10/07/2024;3412,5;3412,5;3310;3310;972
BOABF.bf;10/07/2025;3500;3500;3500;3500;1038
