symbole;date;ouverture;haut;bas;cloture;volume
BOAC.ci;01/04/2025;6110;6110;6010;6010;2879
BOAC.ci;01/05/2025;6060;6100;6060;6100;2632
BOAC.ci;01/07/2024;3717,5;3720;3717,5;3720;674
BOAC.ci;01/07/2025;6140;6140;6100;6100;953
BOAC.ci;01/08/2024;3975;4200;3975;4200;3666
BOAC.ci;01/10/2024;4450;4450;4425;4425;21328
BOAC.ci;01/11/2024;5700;5700;5700;5700;6873
BOAC.ci;02/04/2025;6100;6100;6090;6090;5276
BOAC.ci;02/05/2025;6090;6100;6090;6100;5229
BOAC.ci;02/06/2025;5950;5950;5950;5950;2852
BOAC.ci;02/07/2024;3677,5;3747,5;3677,5;3747,5;3728
BOAC.ci;02/07/2025;6100;6120;6100;6120;22794
BOAC.ci;02/08/2024;4150;4230;4150;4230;4720
BOAC.ci;02/09/2024;4150;4225;4150;4225;4668
BOAC.ci;02/10/2024;4425;4475;4425;4475;9794
BOAC.ci;02/12/2024;4995;4995;4800;4800;3280
BOAC.ci;03/02/2025;4600;4695;4600;4695;1035
BOAC.ci;03/03/2025;5740;5740;5700;5700;5833
BOAC.ci;03/04/2025;6100;6100;6090;6090;8694
BOAC.ci;03/06/2025;5950;5950;5750;5750;7968
BOAC.ci;03/07/2024;3747,5;3747,5;3747,5;3747,5;2438
BOAC.ci;03/07/2025;6120;6120;5920;5920;1688
BOAC.ci;03/09/2024;4225;4225;4225;4225;7346
BOAC.ci;03/10/2024;4455;4502,5;4455;4502,5;4234
BOAC.ci;03/12/2024;4895;4895;4800;4800;1377
BOAC.ci;04/02/2025;4695;4695;4600;4600;4635
BOAC.ci;04/03/2025;5750;5750;5700;5700;7378
BOAC.ci;04/04/2025;6000;6000;6000;6000;6077
BOAC.ci;04/06/2025;5800;5805;5800;5805;4114
BOAC.ci;04/07/2024;3750;3750;3747,5;3747,5;1792
BOAC.ci;04/07/2025;5990;6000;5990;6000;2151
BOAC.ci;04/09/2024;4250;4447,5;4250;4447,5;10514
BOAC.ci;04/10/2024;4515;4800;4515;4800;5524
BOAC.ci;04/11/2024;5695;5695;5530;5530;3189
BOAC.ci;04/12/2024;4750;4750;4695;4695;3087
BOAC.ci;05/02/2025;4600;4695;4600;4695;883
BOAC.ci;05/03/2025;5700;5700;5690;5690;1484
BOAC.ci;05/05/2025;6095;6095;6050;6050;1654
BOAC.ci;05/06/2025;5860;5860;5800;5800;2980
BOAC.ci;05/07/2024;3747,5;3747,5;3747,5;3747,5;2166
BOAC.ci;05/08/2024;4230;4230;4230;4230;2808
BOAC.ci;05/09/2024;4450;4475;4450;4475;8664
