symbole;date;ouverture;haut;bas;cloture;volume
BOAM.ml;01/04/2025;2400;2400;2350;2350;7165
BOAM.ml;01/05/2025;2600;2600;2500;2500;6077
BOAM.ml;01/07/2024;1056,6666666666667;1066,6666666666667;1056,6666666666667;1066,6666666666667;2079
BOAM.ml;01/07/2025;2995;3000;2995;3000;5410
BOAM.ml;01/08/2024;1396,6666666666667;1396,6666666666667;1396,6666666666667;1396,6666666666667;8257
BOAM.ml;01/10/2024;1815;1815;1800;1800;3616
BOAM.ml;01/11/2024;2045;2045;2045;2045;130
BOAM.ml;02/04/2025;2380;2400;2380;2400;11549
BOAM.ml;02/05/2025;2595;2595;2580;2580;903
BOAM.ml;02/06/2025;2635;2635;2550;2550;5786
BOAM.ml;02/07/2024;1066,6666666666667;1066,6666666666667;1046,6666666666667;1046,6666666666667;6120
BOAM.ml;02/07/2025;3070;3070;3040;3040;4944
BOAM.ml;02/08/2024;1396,6666666666667;1396,6666666666667;1396,6666666666667;1396,6666666666667;14334
BOAM.ml;02/09/2024;1675;1770;1675;1770;61
BOAM.ml;02/10/2024;1800;1800;1750;1750;5224
BOAM.ml;02/12/2024;2000;2000;1995;1995;232
BOAM.ml;03/02/2025;1710;1710;1705;1705;679
BOAM.ml;03/03/2025;1915;1950;1915;1950;1882
BOAM.ml;03/04/2025;2400;2400;2400;2400;10977
BOAM.ml;03/06/2025;2560;2600;2560;2600;4119
BOAM.ml;03/07/2024;1060;1060;1033,3333333333333;1033,3333333333333;1300
BOAM.ml;03/07/2025;3040;3040;3040;3040;4935
BOAM.ml;03/09/2024;1800;1900;1800;1900;916
BOAM.ml;03/10/2024;1865;1880;1865;1880;1929
BOAM.ml;03/12/2024;1980;2000;1980;2000;1686
BOAM.ml;04/02/2025;1705;1720;1705;1720;427
BOAM.ml;04/03/2025;1960;1960;1950;1950;2937
BOAM.ml;04/04/2025;2405;2405;2400;2400;12591
BOAM.ml;04/06/2025;2795;2795;2795;2795;18793
BOAM.ml;04/07/2024;1036,6666666666667;1066,6666666666667;1036,6666666666667;1066,6666666666667;858
BOAM.ml;04/07/2025;3040;3070;3040;3070;4614
BOAM.ml;04/09/2024;2040;2040;2040;2040;887
BOAM.ml;04/10/2024;2020;2020;2020;2020;1394
BOAM.ml;04/11/2024;2040;2045;2040;2045;1945
BOAM.ml;04/12/2024;1995;1995;1995;1995;1643
BOAM.ml;05/02/2025;1710;1710;1710;1710;1318
BOAM.ml;05/03/2025;1950;1995;1950;1995;4536
BOAM.ml;05/05/2025;2500;2600;2500;2600;2376
BOAM.ml;05/06/2025;3000;3000;3000;3000;15232
BOAM.ml;05/07/2024;1066,6666666666667;1066,6666666666667;1066,6666666666667;1066,6666666666667;1654
BOAM.ml;05/08/2024;1386,6666666666667;1386,6666666666667;1383,3333333333333;1383,3333333333333;1434
BOAM.ml;05/09/2024;2090;2090;1890;1890;4994
BOAM.ml;05/11/2024;1920;2000;1920;2000;2028
BOAM.ml;05/12/2024;1995;2000;1995;2000;547
BOAM.ml;06/02/2025;1705;1705;1680;1680;2973
BOAM.ml;06/03/2025;2005;2075;2005;2075;2373
BOAM.ml;06/05/2025;2590;2600;2590;2600;4139
BOAM.ml;06/08/2024;1333,3333333333333;1390;1333,3333333333333;1390;810
BOAM.ml;06/09/2024;1890;1890;1750;1750;1591
BOAM.ml;06/11/2024;2000;2000;2000;2000;321
BOAM.ml;06/12/2024;2000;2005;2000;2005;4061
BOAM.ml;07/02/2025;1690;1700;1690;1700;1463
BOAM.ml;07/03/2025;2050;2130;2050;2130;1970
BOAM.ml;07/04/2025;2405;2500;2405;2500;4476
BOAM.ml;07/05/2025;2530;2550;2530;2550;4649
BOAM.ml;07/07/2025;3070;3095;3070;3095;4829
BOAM.ml;07/08/2024;1333,3333333333333;1390;1333,3333333333333;1390;810
BOAM.ml;07/10/2024;2170;2170;2170;2170;1424
BOAM.ml;07/11/2024;2000;2000;2000;2000;306
BOAM.ml;08/04/2025;2505;2550;2505;2550;6912
BOAM.ml;08/05/2025;2550;2595;2550;2595;7243
BOAM.ml;08/07/2024;1066,6666666666667;1086,6666666666667;1066,6666666666667;1086,6666666666667;690
BOAM.ml;08/07/2025;3095;3305;3095;3305;7950
BOAM.ml;08/08/2024;1390;1396,6666666666667;1390;1396,6666666666667;4618
BOAM.ml;08/10/2024;2330;2330;2330;2330;2182
BOAM.ml;08/11/2024;2000;2000;2000;2000;677
BOAM.ml;09/04/2025;2550;2550;2540;2540;4891
BOAM.ml;09/05/2025;2590;2590;2565;2565;1150
BOAM.ml;09/07/2024;1070;1070;1066,6666666666667;1066,6666666666667;334
BOAM.ml;09/07/2025;3310;3470;3310;3470;6109
BOAM.ml;09/08/2024;1400;1400;1400;1400;1908
BOAM.ml;09/09/2024;1750;1755;1750;1755;1044
BOAM.ml;09/10/2024;2500;2500;2500;2500;4324
BOAM.ml;09/12/2024;1985;2000;1985;2000;1165
BOAM.ml;10/02/2025;1705;1720;1705;1720;2803
BOAM.ml;10/03/2025;2230;2230;2150;2150;2208
BOAM.ml;10/04/2025;2500;2500;2500;2500;2627
BOAM.ml;10/06/2025;3225;3225;3150;3150;15201
BOAM.ml;10/07/2024;1086,6666666666667;1086,6666666666667;1086,6666666666667;1086,6666666666667;84
BOAM.ml;10/07/2025;3470;3470;3470;3470;4600
BOAM.ml;10/09/2024;1800;1800;1755;1755;711
