symbole;date;ouverture;haut;bas;cloture;volume
BOAN.ne;01/04/2025;2790;2790;2770;2770;1031
BOAN.ne;01/05/2025;2600;2600;2590;2590;9036
BOAN.ne;01/07/2024;3318,75;3318,75;3309,375;3309,375;852
BOAN.ne;01/07/2025;2625;2625;2455;2455;5990
BOAN.ne;01/08/2024;3271,875;3271,875;3250;3250;692
BOAN.ne;01/10/2024;3485;3485;3350;3350;486
BOAN.ne;01/11/2024;3200;3200;3200;3200;85
BOAN.ne;02/04/2025;2770;2770;2770;2770;131
BOAN.ne;02/05/2025;2600;2600;2550;2550;7465
BOAN.ne;02/06/2025;2600;2600;2600;2600;239
BOAN.ne;02/07/2024;3309,375;3309,375;3309,375;3309,375;353
BOAN.ne;02/07/2025;2405;2405;2405;2405;4333
BOAN.ne;02/08/2024;3268,75;3281,25;3268,75;3281,25;21729
BOAN.ne;02/09/2024;3250;3268,75;3250;3268,75;5574
BOAN.ne;02/10/2024;3160;3300;3160;3300;1419
BOAN.ne;02/12/2024;2740;2740;2720;2720;994
BOAN.ne;03/02/2025;2295;2295;2200;2200;4399
BOAN.ne;03/03/2025;2800;2840;2800;2840;729
BOAN.ne;03/04/2025;2770;2770;2770;2770;1871
BOAN.ne;03/06/2025;2595;2595;2590;2590;2622
BOAN.ne;03/07/2024;3306,25;3306,25;3306,25;3306,25;1456
BOAN.ne;03/07/2025;2405;2405;2375;2375;6761
BOAN.ne;03/09/2024;3265,625;3265,625;3262,5;3262,5;26105
BOAN.ne;03/10/2024;3300;3350;3300;3350;2239
BOAN.ne;03/12/2024;2700;2710;2700;2710;945
BOAN.ne;04/02/2025;2195;2195;2190;2190;1414
BOAN.ne;04/03/2025;2890;3050;2890;3050;6062
BOAN.ne;04/04/2025;2795;2795;2710;2710;591
BOAN.ne;04/06/2025;2425;2595;2425;2595;648
BOAN.ne;04/07/2024;3306,25;3306,25;3306,25;3306,25;544
BOAN.ne;04/07/2025;2375;2400;2375;2400;17783
BOAN.ne;04/09/2024;3500;3500;3500;3500;8096
BOAN.ne;04/10/2024;3350;3350;3350;3350;832
BOAN.ne;04/11/2024;3150;3185;3150;3185;1103
BOAN.ne;04/12/2024;2710;2710;2710;2710;1853
BOAN.ne;05/02/2025;2190;2200;2190;2200;2765
BOAN.ne;05/03/2025;3275;3275;3100;3100;2714
BOAN.ne;05/05/2025;2550;2650;2550;2650;853
BOAN.ne;05/06/2025;2600;2600;2595;2595;1381
BOAN.ne;05/07/2024;3306,25;3306,25;3306,25;3306,25;758
BOAN.ne;05/08/2024;3281,25;3371,875;3281,25;3371,875;12460
BOAN.ne;05/09/2024;3645;3760;3645;3760;16740
BOAN.ne;05/11/2024;3185;3185;3180;3180;366
BOAN.ne;05/12/2024;2710;2710;2690;2690;805
BOAN.ne;06/02/2025;2200;2300;2200;2300;3975
BOAN.ne;06/03/2025;3110;3110;3045;3045;1242
BOAN.ne;06/05/2025;2650;2650;2600;2600;2575
BOAN.ne;06/08/2024;3371,875;3371,875;3371,875;3371,875;6891
BOAN.ne;06/09/2024;3995;3995;3850;3850;5583
BOAN.ne;06/11/2024;3000;3000;3000;3000;2034
BOAN.ne;06/12/2024;2690;2690;2690;2690;751
BOAN.ne;07/02/2025;2300;2300;2295;2295;2472
BOAN.ne;07/03/2025;3000;3000;2900;2900;3986
BOAN.ne;07/04/2025;2710;2780;2710;2780;963
BOAN.ne;07/05/2025;2590;2590;2575;2575;1473
BOAN.ne;07/07/2025;2450;2540;2450;2540;8092
BOAN.ne;07/08/2024;3371,875;3371,875;3371,875;3371,875;6891
BOAN.ne;07/10/2024;3350;3350;3350;3350;719
BOAN.ne;07/11/2024;3000;3000;2995;2995;513
BOAN.ne;08/04/2025;2780;2780;2780;2780;439
BOAN.ne;08/05/2025;2575;2575;2575;2575;282
BOAN.ne;08/07/2024;3306,25;3306,25;3287,5;3287,5;3374
BOAN.ne;08/07/2025;2515;2515;2490;2490;2679
BOAN.ne;08/08/2024;3375;3375;3365,625;3365,625;5827
BOAN.ne;08/10/2024;3300;3300;3290;3290;544
BOAN.ne;08/11/2024;3000;3000;2995;2995;1030
BOAN.ne;09/04/2025;2780;2780;2760;2760;806
BOAN.ne;09/05/2025;2575;2575;2575;2575;5132
BOAN.ne;09/07/2024;3278,125;3293,75;3278,125;3293,75;454
BOAN.ne;09/07/2025;2540;2540;2500;2500;9825
BOAN.ne;09/08/2024;3365,625;3365,625;3312,5;3312,5;3795
BOAN.ne;09/09/2024;3760;3800;3760;3800;1633
BOAN.ne;09/10/2024;3280;3280;3250;3250;1576
BOAN.ne;09/12/2024;2690;2690;2650;2650;770
BOAN.ne;10/02/2025;2300;2350;2300;2350;1569
BOAN.ne;10/03/2025;3040;3040;2995;2995;991
BOAN.ne;10/04/2025;2760;2765;2760;2765;42236
BOAN.ne;10/06/2025;2595;2600;2595;2600;8602
BOAN.ne;10/07/2024;3287,5;3287,5;3287,5;3287,5;1256
BOAN.ne;10/07/2025;2520;2585;2520;2585;440
BOAN.ne;10/09/2024;3830;3830;3700;3700;1924
BOAN.ne;10/10/2024;3250;3350;3250;3350;1091
BOAN.ne;10/12/2024;2605;2605;2600;2600;2117
BOAN.ne;11/02/2025;2350;2350;2350;2350;838
BOAN.ne;11/03/2025;2995;2995;2995;2995;6792
BOAN.ne;11/04/2025;2765;2790;2765;2790;2453
BOAN.ne;11/06/2025;2465;2585;2465;2585;950
BOAN.ne;11/07/2024;3281,25;3281,25;3281,25;3281,25;1262
BOAN.ne;11/07/2025;2585;2585;2580;2580;327
BOAN.ne;11/09/2024;3700;3700;3670;3670;856
BOAN.ne;11/10/2024;3250;3300;3250;3300;1811
BOAN.ne;11/11/2024;2990;2990;2990;2990;964
BOAN.ne;11/12/2024;2650;2650;2600;2600;3465
BOAN.ne;12/02/2025;2350;2365;2350;2365;2756
BOAN.ne;12/03/2025;2995;3000;2995;3000;748
BOAN.ne;12/05/2025;2580;2595;2580;2595;244
BOAN.ne;12/06/2025;2580;2630;2580;2630;6044
BOAN.ne;12/07/2024;3281,25;3281,25;3281,25;3281,25;792
BOAN.ne;12/08/2024;3312,5;3365,625;3312,5;3365,625;4681
BOAN.ne;12/09/2024;3645;3645;3585;3585;1274
BOAN.ne;12/11/2024;3000;3000;2990;2990;620
BOAN.ne;12/12/2024;2600;2650;2600;2650;7005
BOAN.ne;13/02/2025;2365;2400;2365;2400;6332
BOAN.ne;13/03/2025;3000;3040;3000;3040;1167
BOAN.ne;13/05/2025;2600;2600;2595;2595;9151
BOAN.ne;13/06/2025;2630;2690;2630;2690;2031
BOAN.ne;13/08/2024;3365,625;3375;3365,625;3375;12787
BOAN.ne;13/09/2024;3550;3550;3400;3400;2447
BOAN.ne;13/11/2024;2990;2990;2990;2990;1047
BOAN.ne;13/12/2024;2600;2600;2520;2520;681
BOAN.ne;14/02/2025;2380;2385;2380;2385;2529
BOAN.ne;14/03/2025;3050;3050;2910;2910;15375
BOAN.ne;14/04/2025;2785;2785;2785;2785;121
BOAN.ne;14/05/2025;2600;2680;2600;2680;3242
BOAN.ne;14/07/2025;2505;2580;2505;2580;280
BOAN.ne;14/08/2024;3375;3375;3375;3375;1972
BOAN.ne;14/10/2024;3300;3300;3250;3250;2488
BOAN.ne;14/11/2024;2990;2990;2950;2950;60
BOAN.ne;15/04/2025;2790;2790;2790;2790;1897
BOAN.ne;15/05/2025;2680;2680;2600;2600;685
BOAN.ne;15/07/2024;3281,25;3281,25;3278,125;3278,125;876
BOAN.ne;15/08/2024;3375;3375;3375;3375;1972
BOAN.ne;15/10/2024;3290;3290;3250;3250;2876
BOAN.ne;15/11/2024;2990;2990;2950;2950;60
BOAN.ne;16/04/2025;2790;2790;2790;2790;1879
BOAN.ne;16/05/2025;2650;2650;2640;2640;12
BOAN.ne;16/06/2025;2690;2710;2690;2710;1939
BOAN.ne;16/07/2024;3265,625;3265,625;3250;3250;1099
BOAN.ne;16/08/2024;3375;3375;3359,375;3359,375;5459
BOAN.ne;16/09/2024;3350;3350;3145;3145;1905
BOAN.ne;16/10/2024;3200;3300;3200;3300;2493
BOAN.ne;16/12/2024;2605;2605;2600;2600;5845
BOAN.ne;17/02/2025;2450;2450;2440;2440;1034
