symbole;date;ouverture;haut;bas;cloture;volume
BOAS.sn;01/04/2025;3950;3950;3935;3935;3599
BOAS.sn;01/05/2025;4150;4150;4150;4150;1543
BOAS.sn;01/07/2024;2593,3333333333335;2593,3333333333335;2593,3333333333335;2593,3333333333335;640
BOAS.sn;01/07/2025;4140;4280;4140;4280;14247
BOAS.sn;01/08/2024;3266,6666666666665;3266,6666666666665;3226,6666666666665;3226,6666666666665;3774
BOAS.sn;01/10/2024;3800;3800;3800;3800;575
BOAS.sn;01/11/2024;3900;3900;3900;3900;138
BOAS.sn;02/04/2025;3935;3935;3930;3930;3661
BOAS.sn;02/05/2025;4165;4200;4165;4200;21513
BOAS.sn;02/06/2025;3950;3990;3950;3990;3009
BOAS.sn;02/07/2024;2593,3333333333335;2593,3333333333335;2566,6666666666665;2566,6666666666665;2571
BOAS.sn;02/07/2025;4290;4290;4250;4250;6970
BOAS.sn;02/08/2024;3166,6666666666665;3226,6666666666665;3166,6666666666665;3226,6666666666665;4066
BOAS.sn;02/09/2024;3600;3620;3600;3620;326
BOAS.sn;02/10/2024;3850;3850;3800;3800;772
BOAS.sn;02/12/2024;3445;3445;3200;3200;684
BOAS.sn;03/02/2025;2725;2740;2725;2740;688
BOAS.sn;03/03/2025;2945;2945;2930;2930;3415
BOAS.sn;03/04/2025;3935;3950;3935;3950;1069
BOAS.sn;03/06/2025;4050;4050;4020;4020;3584
BOAS.sn;03/07/2024;2566,6666666666665;2566,6666666666665;2566,6666666666665;2566,6666666666665;792
BOAS.sn;03/07/2025;4190;4200;4190;4200;12686
BOAS.sn;03/09/2024;3890;3890;3890;3890;511
BOAS.sn;03/10/2024;3800;3900;3800;3900;910
BOAS.sn;03/12/2024;3025;3200;3025;3200;347
BOAS.sn;04/02/2025;2800;2800;2700;2700;1193
BOAS.sn;04/03/2025;2955;3045;2955;3045;9918
BOAS.sn;04/04/2025;4000;4105;4000;4105;9618
BOAS.sn;04/06/2025;4000;4050;4000;4050;3084
BOAS.sn;04/07/2024;2566,6666666666665;2566,6666666666665;2566,6666666666665;2566,6666666666665;2227
BOAS.sn;04/07/2025;4200;4200;4200;4200;12200
BOAS.sn;04/09/2024;4175;4175;3900;3900;4431
BOAS.sn;04/10/2024;3800;4140;3800;4140;413
