symbole;date;ouverture;haut;bas;cloture;volume
CABC.ci;01/04/2025;1340;1340;1340;1340;484
CABC.ci;01/05/2025;1350;1380;1350;1380;13491
CABC.ci;01/07/2024;1060;1075;1060;1075;2274
CABC.ci;01/07/2025;1185;1185;1185;1185;438
CABC.ci;01/08/2024;955;955;955;955;1011
CABC.ci;01/10/2024;955;955;955;955;203
CABC.ci;01/11/2024;1100;1100;1100;1100;758
CABC.ci;02/04/2025;1340;1340;1240;1240;23343
CABC.ci;02/05/2025;1380;1380;1375;1375;1079
CABC.ci;02/06/2025;1205;1205;1190;1190;2523
CABC.ci;02/07/2024;1070;1070;1060;1060;370
CABC.ci;02/07/2025;1185;1195;1185;1195;432
CABC.ci;02/08/2024;1025;1025;980;980;699
CABC.ci;02/09/2024;980;980;980;980;1325
CABC.ci;02/10/2024;970;1025;970;1025;137
CABC.ci;02/12/2024;1145;1170;1145;1170;967
CABC.ci;03/02/2025;1060;1100;1060;1100;32
CABC.ci;03/03/2025;1165;1200;1165;1200;52
CABC.ci;03/04/2025;1245;1245;1235;1235;950
CABC.ci;03/06/2025;1200;1210;1200;1210;268
CABC.ci;03/07/2024;1075;1075;1060;1060;216
CABC.ci;03/07/2025;1190;1190;1190;1190;448
CABC.ci;03/09/2024;980;980;950;950;12835
CABC.ci;03/10/2024;1020;1025;1020;1025;2085
CABC.ci;03/12/2024;1170;1170;1160;1160;286
CABC.ci;04/03/2025;1180;1195;1180;1195;788
CABC.ci;04/04/2025;1260;1260;1245;1245;93
CABC.ci;04/06/2025;1290;1290;1285;1285;494
CABC.ci;04/07/2024;1060;1060;1060;1060;351
CABC.ci;04/07/2025;1190;1190;1190;1190;858
CABC.ci;04/09/2024;935;980;935;980;347
CABC.ci;04/10/2024;1025;1030;1025;1030;374
CABC.ci;04/11/2024;1100;1100;1100;1100;286
CABC.ci;04/12/2024;1160;1160;1155;1155;103
CABC.ci;05/02/2025;1100;1100;1100;1100;50
CABC.ci;05/03/2025;1200;1200;1200;1200;8395
CABC.ci;05/05/2025;1375;1375;1350;1350;1912
CABC.ci;05/06/2025;1200;1200;1200;1200;1245
CABC.ci;05/07/2024;990;1050;990;1050;804
CABC.ci;05/08/2024;980;980;980;980;213
CABC.ci;05/09/2024;980;995;980;995;4120
CABC.ci;05/11/2024;1100;1100;1020;1020;78
CABC.ci;05/12/2024;1070;1150;1070;1150;5435
CABC.ci;06/02/2025;1055;1110;1055;1110;38
CABC.ci;06/03/2025;1200;1200;1170;1170;1157
CABC.ci;06/05/2025;1340;1340;1330;1330;1178
CABC.ci;06/08/2024;980;1000;980;1000;205
CABC.ci;06/09/2024;995;995;995;995;224
CABC.ci;06/11/2024;1020;1095;1020;1095;113
CABC.ci;06/12/2024;1150;1150;1150;1150;11
CABC.ci;07/02/2025;1110;1120;1110;1120;718
CABC.ci;07/03/2025;1100;1170;1100;1170;4452
CABC.ci;07/04/2025;1245;1300;1245;1300;3512
CABC.ci;07/05/2025;1350;1350;1330;1330;1025
CABC.ci;07/07/2025;1130;1130;1130;1130;306
CABC.ci;07/08/2024;980;1000;980;1000;205
CABC.ci;07/10/2024;1030;1030;1030;1030;424
CABC.ci;07/11/2024;1095;1095;1095;1095;156
CABC.ci;08/04/2025;1330;1330;1300;1300;388
CABC.ci;08/05/2025;1330;1330;1300;1300;851
CABC.ci;08/07/2024;1055;1055;1000;1000;51
CABC.ci;08/07/2025;1165;1190;1165;1190;81
CABC.ci;08/08/2024;1000;1000;1000;1000;1170
CABC.ci;08/10/2024;1030;1050;1030;1050;1207
CABC.ci;08/11/2024;1095;1095;1095;1095;473
CABC.ci;09/04/2025;1320;1320;1240;1240;14489
CABC.ci;09/05/2025;1300;1300;1300;1300;3365
CABC.ci;09/07/2024;1000;1040;1000;1040;6165
CABC.ci;09/07/2025;1190;1190;1180;1180;207
CABC.ci;09/08/2024;980;980;980;980;435
CABC.ci;09/09/2024;995;1050;995;1050;312
CABC.ci;09/10/2024;1050;1050;1050;1050;171
CABC.ci;09/12/2024;1070;1100;1070;1100;2838
CABC.ci;10/02/2025;1120;1120;1120;1120;531
CABC.ci;10/03/2025;1170;1200;1170;1200;58
CABC.ci;10/04/2025;1240;1300;1240;1300;13671
CABC.ci;10/06/2025;1200;1200;1195;1195;28755
CABC.ci;10/07/2024;1035;1035;990;990;569
CABC.ci;10/07/2025;1190;1190;1190;1190;102
CABC.ci;10/09/2024;1035;1035;975;975;1897
CABC.ci;10/10/2024;1040;1040;1000;1000;5419
CABC.ci;10/12/2024;1100;1100;1050;1050;166
CABC.ci;11/02/2025;1120;1120;1120;1120;506
CABC.ci;11/03/2025;1170;1200;1170;1200;58
CABC.ci;11/04/2025;1320;1320;1310;1310;629
CABC.ci;11/06/2025;1195;1195;1195;1195;615
CABC.ci;11/07/2024;990;990;980;980;1328
CABC.ci;11/07/2025;1190;1190;1190;1190;111
CABC.ci;11/09/2024;980;1035;980;1035;629
CABC.ci;11/10/2024;1000;1000;980;980;85
CABC.ci;11/11/2024;1095;1095;1095;1095;102
CABC.ci;11/12/2024;1050;1050;1050;1050;105
CABC.ci;12/02/2025;1120;1120;1120;1120;627
CABC.ci;12/03/2025;1185;1185;1185;1185;170
CABC.ci;12/05/2025;1275;1330;1275;1330;187
CABC.ci;12/06/2025;1195;1195;1195;1195;317
CABC.ci;12/07/2024;980;980;980;980;264
CABC.ci;12/08/2024;980;980;980;980;767
CABC.ci;12/09/2024;1035;1035;1030;1030;11
CABC.ci;12/11/2024;1090;1090;1025;1025;104
CABC.ci;12/12/2024;1095;1095;1095;1095;134
CABC.ci;13/02/2025;1120;1120;1120;1120;127
CABC.ci;13/03/2025;1185;1185;1150;1150;2067
CABC.ci;13/05/2025;1330;1330;1330;1330;138
CABC.ci;13/06/2025;1195;1195;1190;1190;376
CABC.ci;13/08/2024;980;980;980;980;379
CABC.ci;13/09/2024;1030;1030;980;980;924
CABC.ci;13/11/2024;1025;1095;1025;1095;250
CABC.ci;13/12/2024;1020;1020;1020;1020;1140
CABC.ci;14/02/2025;1120;1120;1120;1120;512
CABC.ci;14/03/2025;1235;1235;1235;1235;16692
CABC.ci;14/04/2025;1315;1375;1315;1375;25178
CABC.ci;14/05/2025;1330;1350;1330;1350;1003
CABC.ci;14/07/2025;1190;1190;1175;1175;182
CABC.ci;14/08/2024;980;980;980;980;497
CABC.ci;14/10/2024;985;990;985;990;316
CABC.ci;14/11/2024;1090;1090;1090;1090;6
CABC.ci;15/04/2025;1375;1375;1340;1340;466
CABC.ci;15/05/2025;1350;1350;1320;1320;269
CABC.ci;15/07/2024;980;980;980;980;13083
CABC.ci;15/08/2024;980;980;980;980;497
CABC.ci;15/10/2024;1000;1050;1000;1050;740
CABC.ci;15/11/2024;1090;1090;1090;1090;6
CABC.ci;16/04/2025;1400;1400;1375;1375;4139
CABC.ci;16/05/2025;1225;1225;1225;1225;3977
CABC.ci;16/06/2025;1190;1190;1190;1190;296
CABC.ci;16/07/2024;980;980;980;980;220
CABC.ci;16/08/2024;980;980;980;980;241
CABC.ci;16/09/2024;980;980;980;980;11881
CABC.ci;16/10/2024;975;990;975;990;150
CABC.ci;16/12/2024;1025;1095;1025;1095;100
CABC.ci;17/02/2025;1120;1120;1110;1110;353
CABC.ci;17/03/2025;1325;1325;1325;1325;8390
CABC.ci;17/04/2025;1350;1350;1350;1350;37
CABC.ci;17/06/2025;1170;1195;1170;1195;1627
CABC.ci;17/07/2024;975;975;970;970;307
CABC.ci;17/09/2024;980;985;980;985;188
CABC.ci;17/10/2024;1035;1040;1035;1040;471
CABC.ci;17/12/2024;1095;1095;1095;1095;122
CABC.ci;18/02/2025;1110;1110;1095;1095;203
CABC.ci;18/03/2025;1350;1395;1350;1395;15182
CABC.ci;18/04/2025;1350;1350;1350;1350;755
CABC.ci;18/06/2025;1195;1195;1190;1190;2694
CABC.ci;18/07/2024;970;970;960;960;624
CABC.ci;18/09/2024;1030;1030;975;975;5276
CABC.ci;18/10/2024;1040;1040;1015;1015;315
CABC.ci;18/11/2024;1050;1050;1020;1020;1761
CABC.ci;18/12/2024;1095;1145;1095;1145;206
CABC.ci;19/02/2025;1095;1095;1080;1080;3567
CABC.ci;19/03/2025;1350;1395;1350;1395;6716
CABC.ci;19/05/2025;1300;1310;1300;1310;96
CABC.ci;19/06/2025;1190;1200;1190;1200;485
CABC.ci;19/07/2024;960;960;950;950;1044
CABC.ci;19/08/2024;1000;1000;1000;1000;151
CABC.ci;19/09/2024;990;990;990;990;852
CABC.ci;19/11/2024;1000;1050;1000;1050;5066
CABC.ci;19/12/2024;1140;1160;1140;1160;4442
CABC.ci;20/02/2025;1100;1100;1080;1080;177
CABC.ci;20/03/2025;1400;1400;1375;1375;2558
CABC.ci;20/05/2025;1390;1390;1320;1320;1842
CABC.ci;20/06/2025;1190;1190;1175;1175;985
CABC.ci;20/08/2024;1020;1020;1000;1000;75
CABC.ci;20/09/2024;990;995;990;995;88
CABC.ci;20/11/2024;1050;1080;1050;1080;2523
CABC.ci;20/12/2024;1160;1160;1155;1155;225
CABC.ci;21/02/2025;1080;1120;1080;1120;806
CABC.ci;21/03/2025;1350;1395;1350;1395;574
CABC.ci;21/04/2025;1350;1350;1350;1350;755
CABC.ci;21/05/2025;1325;1360;1325;1360;2854
CABC.ci;21/08/2024;1000;1000;1000;1000;336
CABC.ci;21/10/2024;1015;1015;1015;1015;185
CABC.ci;21/11/2024;1095;1095;1080;1080;24
CABC.ci;22/04/2025;1350;1350;1350;1350;84
CABC.ci;22/05/2025;1395;1395;1300;1300;34706
CABC.ci;22/07/2024;950;950;945;945;1522
CABC.ci;22/08/2024;1000;1000;995;995;211
CABC.ci;22/10/2024;1015;1015;1015;1015;13
CABC.ci;22/11/2024;1080;1080;1080;1080;50
CABC.ci;23/04/2025;1390;1390;1380;1380;1015
CABC.ci;23/05/2025;1345;1350;1345;1350;5716
CABC.ci;23/06/2025;1175;1200;1175;1200;1309
CABC.ci;23/07/2024;945;960;945;960;1211
CABC.ci;23/08/2024;995;995;995;995;1066
CABC.ci;23/09/2024;995;995;950;950;6189
CABC.ci;23/10/2024;995;1040;995;1040;34
CABC.ci;23/12/2024;1150;1155;1150;1155;1696
CABC.ci;24/02/2025;1085;1120;1085;1120;359
CABC.ci;24/03/2025;1375;1375;1365;1365;556
CABC.ci;24/04/2025;1380;1385;1380;1385;321
CABC.ci;24/06/2025;1200;1200;1175;1175;454
CABC.ci;24/07/2024;960;960;960;960;2177
CABC.ci;24/09/2024;1010;1010;1010;1010;504
CABC.ci;24/10/2024;1020;1020;1015;1015;35093
CABC.ci;24/12/2024;1145;1145;1145;1145;886
CABC.ci;25/02/2025;1120;1120;1115;1115;349
CABC.ci;25/03/2025;1375;1375;1355;1355;618
CABC.ci;25/04/2025;1310;1350;1310;1350;2212
CABC.ci;25/06/2025;1190;1190;1180;1180;809
CABC.ci;25/07/2024;950;960;950;960;2735
CABC.ci;25/09/2024;1030;1030;1020;1020;933
CABC.ci;25/10/2024;1020;1020;1020;1020;3934
CABC.ci;25/11/2024;1070;1070;1070;1070;8
CABC.ci;25/12/2024;1150;1150;1145;1145;886
CABC.ci;26/02/2025;1150;1150;1150;1150;56
CABC.ci;26/03/2025;1355;1355;1255;1255;1184
CABC.ci;26/05/2025;1350;1400;1350;1400;2816
CABC.ci;26/06/2025;1180;1190;1180;1190;784
CABC.ci;26/07/2024;950;960;950;960;444
CABC.ci;26/08/2024;995;995;995;995;254
CABC.ci;26/09/2024;1020;1025;1020;1025;292
CABC.ci;26/11/2024;1000;1000;1000;1000;114
CABC.ci;26/12/2024;1145;1145;1145;1145;704
CABC.ci;27/01/2025;1050;1110;1050;1110;54
CABC.ci;27/03/2025;1355;1355;1255;1255;1184
CABC.ci;27/05/2025;1385;1385;1295;1295;10448
CABC.ci;27/06/2025;1190;1190;1185;1185;595
CABC.ci;27/08/2024;990;990;985;985;482
CABC.ci;27/09/2024;1030;1030;1020;1020;218
CABC.ci;27/11/2024;1075;1075;1060;1060;81
CABC.ci;27/12/2024;1140;1140;1140;1140;4
CABC.ci;28/01/2025;1110;1110;1110;1110;32
CABC.ci;28/02/2025;1100;1170;1100;1170;1012
CABC.ci;28/03/2025;1255;1340;1255;1340;11818
CABC.ci;28/04/2025;1350;1350;1270;1270;1323
CABC.ci;28/05/2025;1250;1250;1200;1200;3887
CABC.ci;28/08/2024;990;990;990;990;13879
CABC.ci;28/10/2024;1095;1095;1095;1095;631
CABC.ci;28/11/2024;1060;1100;1060;1100;1031
CABC.ci;29/01/2025;1110;1110;1100;1100;545
CABC.ci;29/04/2025;1300;1325;1300;1325;34
CABC.ci;29/05/2025;1250;1250;1200;1200;3887
CABC.ci;29/07/2024;950;950;950;950;830
CABC.ci;29/08/2024;990;990;990;990;20
CABC.ci;29/10/2024;1120;1120;1100;1100;287
CABC.ci;29/11/2024;1080;1100;1080;1100;866
CABC.ci;30/01/2025;1050;1050;1050;1050;9
CABC.ci;30/04/2025;1350;1380;1350;1380;13491
CABC.ci;30/05/2025;1200;1200;1200;1200;701
CABC.ci;30/06/2025;1185;1185;1185;1185;691
CABC.ci;30/07/2024;955;955;955;955;2481
CABC.ci;30/08/2024;1000;1000;980;980;1702
CABC.ci;30/09/2024;1020;1020;1020;1020;20
CABC.ci;30/10/2024;1100;1100;1100;1100;200
CABC.ci;31/01/2025;1050;1100;1050;1100;20
CABC.ci;31/03/2025;1255;1340;1255;1340;11818
CABC.ci;31/07/2024;950;1025;950;1025;2620
CABC.ci;31/10/2024;1100;1100;1100;1100;758
