symbole;date;ouverture;haut;bas;cloture;volume
CBIBF.bf;01/04/2025;10750;10750;10500;10500;1517
CBIBF.bf;01/05/2025;9800;9800;9500;9500;308
CBIBF.bf;01/07/2024;10650;10650;10600;10600;966
CBIBF.bf;01/07/2025;10310;10310;10245;10245;285
CBIBF.bf;01/08/2024;10095;10200;10095;10200;2937
CBIBF.bf;01/10/2024;9980;9985;9980;9985;69
CBIBF.bf;01/11/2024;10000;10000;10000;10000;580
CBIBF.bf;02/04/2025;10760;10800;10760;10800;5084
CBIBF.bf;02/05/2025;9500;9700;9500;9700;1729
CBIBF.bf;02/06/2025;10100;10100;10100;10100;227
CBIBF.bf;02/07/2024;10600;10600;10600;10600;324
CBIBF.bf;02/07/2025;10245;10245;10145;10145;583
CBIBF.bf;02/08/2024;10155;10155;10150;10150;1755
CBIBF.bf;02/09/2024;10000;10000;9980;9980;351
CBIBF.bf;02/10/2024;9980;9990;9980;9990;1598
CBIBF.bf;02/12/2024;9990;9990;9985;9985;342
CBIBF.bf;03/02/2025;9800;9800;9800;9800;283
CBIBF.bf;03/03/2025;10000;10300;10000;10300;1247
CBIBF.bf;03/04/2025;10600;10600;10500;10500;621
CBIBF.bf;03/06/2025;10100;10495;10100;10495;1139
CBIBF.bf;03/07/2024;10100;10150;10100;10150;1096
CBIBF.bf;03/07/2025;10295;10295;9750;9750;1195
CBIBF.bf;03/09/2024;9980;10000;9980;10000;369
CBIBF.bf;03/10/2024;9995;9995;9995;9995;818
CBIBF.bf;03/12/2024;9980;9985;9980;9985;276
CBIBF.bf;04/02/2025;9800;9800;9800;9800;687
CBIBF.bf;04/03/2025;10300;10300;10000;10000;681
CBIBF.bf;04/04/2025;10500;10500;10500;10500;515
CBIBF.bf;04/06/2025;10495;10495;10445;10445;1172
CBIBF.bf;04/07/2024;10200;10400;10200;10400;520
CBIBF.bf;04/07/2025;10195;10450;10195;10450;2415
CBIBF.bf;04/09/2024;10000;10000;9975;9975;1116
CBIBF.bf;04/10/2024;9995;9995;9995;9995;527
CBIBF.bf;04/11/2024;10000;10000;9990;9990;966
CBIBF.bf;04/12/2024;9985;9985;9985;9985;717
CBIBF.bf;05/02/2025;9800;9800;9800;9800;271
CBIBF.bf;05/03/2025;10250;10250;10250;10250;305
CBIBF.bf;05/05/2025;9845;9845;9400;9400;2228
CBIBF.bf;05/06/2025;10440;10440;10000;10000;213
CBIBF.bf;05/07/2024;10400;10415;10400;10415;571
CBIBF.bf;05/08/2024;10200;10200;10150;10150;581
CBIBF.bf;05/09/2024;9975;10000;9975;10000;3603
CBIBF.bf;05/11/2024;9990;9990;9990;9990;99
CBIBF.bf;05/12/2024;9950;9950;9950;9950;356
CBIBF.bf;06/02/2025;9800;9900;9800;9900;537
CBIBF.bf;06/03/2025;10250;10250;10250;10250;225
CBIBF.bf;06/05/2025;9350;9595;9350;9595;850
CBIBF.bf;06/08/2024;10155;10155;10140;10140;210
CBIBF.bf;06/09/2024;10000;10000;10000;10000;106
CBIBF.bf;06/11/2024;10000;10000;9990;9990;3025
CBIBF.bf;06/12/2024;9700;9980;9700;9980;463
CBIBF.bf;07/02/2025;9900;9900;9900;9900;143
CBIBF.bf;07/03/2025;10250;10250;10150;10150;361
CBIBF.bf;07/04/2025;10500;10500;10400;10400;1450
CBIBF.bf;07/05/2025;9595;9800;9595;9800;486
CBIBF.bf;07/07/2025;10200;10200;9855;9855;285
CBIBF.bf;07/08/2024;10155;10155;10140;10140;210
CBIBF.bf;07/10/2024;10000;10000;9990;9990;1814
CBIBF.bf;07/11/2024;9990;9990;9990;9990;181
CBIBF.bf;08/04/2025;10500;10500;10350;10350;687
CBIBF.bf;08/05/2025;9800;9800;9800;9800;287
CBIBF.bf;08/07/2024;10350;10410;10350;10410;5101
CBIBF.bf;08/07/2025;9900;9900;9900;9900;779
CBIBF.bf;08/08/2024;10140;10200;10140;10200;469
CBIBF.bf;08/10/2024;9995;9995;9985;9985;6116
CBIBF.bf;08/11/2024;9990;9995;9990;9995;166
CBIBF.bf;09/04/2025;10300;10595;10300;10595;5065
CBIBF.bf;09/05/2025;9780;9800;9780;9800;312
CBIBF.bf;09/07/2024;10405;10405;10400;10400;15372
CBIBF.bf;09/07/2025;9890;9890;9890;9890;396
CBIBF.bf;09/08/2024;10200;10295;10200;10295;467
CBIBF.bf;09/09/2024;9980;10000;9980;10000;460
CBIBF.bf;09/10/2024;9315;9990;9315;9990;497
CBIBF.bf;09/12/2024;9700;9950;9700;9950;273
CBIBF.bf;10/02/2025;9900;9900;9900;9900;322
CBIBF.bf;10/03/2025;10150;10150;10150;10150;1071
CBIBF.bf;10/04/2025;10600;10600;10400;10400;768
CBIBF.bf;10/06/2025;10390;10390;10000;10000;1444
CBIBF.bf;10/07/2024;10410;10410;10300;10300;1879
CBIBF.bf;10/07/2025;9890;10000;9890;10000;304
CBIBF.bf;10/09/2024;10000;10000;9980;9980;740
CBIBF.bf;10/10/2024;9990;9995;9990;9995;385
CBIBF.bf;10/12/2024;9950;9950;9950;9950;1359
CBIBF.bf;11/02/2025;9850;9900;9850;9900;176
CBIBF.bf;11/03/2025;10180;10245;10180;10245;6939
CBIBF.bf;11/04/2025;10400;10400;10360;10360;153
CBIBF.bf;11/06/2025;9805;10200;9805;10200;2670
CBIBF.bf;11/07/2024;10305;10400;10305;10400;55
CBIBF.bf;11/07/2025;10000;10100;10000;10100;633
CBIBF.bf;11/09/2024;9980;9980;9980;9980;3949
CBIBF.bf;11/10/2024;9995;10000;9995;10000;286
CBIBF.bf;11/11/2024;9990;9990;9360;9360;1745
CBIBF.bf;11/12/2024;9950;9950;9950;9950;24
CBIBF.bf;12/02/2025;9875;9875;9850;9850;548
CBIBF.bf;12/03/2025;10250;10495;10250;10495;2127
CBIBF.bf;12/05/2025;9790;9790;9595;9595;217
CBIBF.bf;12/06/2025;10400;10400;10000;10000;933
CBIBF.bf;12/07/2024;10390;10390;10290;10290;351
CBIBF.bf;12/08/2024;10150;10195;10150;10195;432
CBIBF.bf;12/09/2024;9980;9980;9980;9980;3915
CBIBF.bf;12/11/2024;9995;9995;9990;9990;920
CBIBF.bf;12/12/2024;9950;9975;9950;9975;216
CBIBF.bf;13/02/2025;9850;9900;9850;9900;687
CBIBF.bf;13/03/2025;10495;10500;10495;10500;775
CBIBF.bf;13/05/2025;9600;9700;9600;9700;3126
CBIBF.bf;13/06/2025;10000;10005;10000;10005;1555
