symbole;date;ouverture;haut;bas;cloture;volume
CFAC.ci;01/04/2025;615;615;615;615;169
CFAC.ci;01/05/2025;600;600;600;600;124
CFAC.ci;01/07/2024;700;700;685;685;902
CFAC.ci;01/07/2025;680;680;660;660;142
CFAC.ci;01/08/2024;675;675;670;670;3220
CFAC.ci;01/10/2024;665;665;650;650;385
CFAC.ci;01/11/2024;635;650;635;650;4676
CFAC.ci;02/04/2025;615;615;610;610;117
CFAC.ci;02/05/2025;600;600;600;600;7162
CFAC.ci;02/06/2025;625;655;625;655;1072
CFAC.ci;02/07/2024;685;685;685;685;432
CFAC.ci;02/07/2025;665;680;665;680;9041
CFAC.ci;02/08/2024;670;680;670;680;2270
CFAC.ci;02/09/2024;685;685;670;670;162
CFAC.ci;02/10/2024;640;640;635;635;1009
CFAC.ci;02/12/2024;665;665;620;620;1316
CFAC.ci;03/02/2025;560;560;550;550;2168
CFAC.ci;03/03/2025;620;620;620;620;423
CFAC.ci;03/04/2025;605;605;570;570;390
CFAC.ci;03/06/2025;655;655;655;655;2228
CFAC.ci;03/07/2024;685;685;685;685;678
CFAC.ci;03/07/2025;700;700;680;680;6012
CFAC.ci;03/09/2024;665;665;640;640;8365
CFAC.ci;03/10/2024;635;680;635;680;1633
CFAC.ci;03/12/2024;620;620;605;605;1152
CFAC.ci;04/02/2025;550;550;550;550;1212
CFAC.ci;04/03/2025;615;615;615;615;476
CFAC.ci;04/04/2025;600;600;575;575;942
CFAC.ci;04/06/2025;655;655;655;655;2305
CFAC.ci;04/07/2024;685;685;685;685;264
CFAC.ci;04/07/2025;685;685;665;665;1236
CFAC.ci;04/09/2024;640;680;640;680;1449
CFAC.ci;04/10/2024;680;680;675;675;758
CFAC.ci;04/11/2024;650;650;645;645;1205
CFAC.ci;04/12/2024;620;620;615;615;436
CFAC.ci;05/02/2025;555;555;550;550;1081
CFAC.ci;05/03/2025;615;615;610;610;1204
CFAC.ci;05/05/2025;600;600;600;600;350
CFAC.ci;05/06/2025;660;660;650;650;2554
CFAC.ci;05/07/2024;680;685;680;685;1703
CFAC.ci;05/08/2024;680;680;655;655;3407
CFAC.ci;05/09/2024;680;680;680;680;719
