symbole;date;ouverture;haut;bas;cloture;volume
CIEC.ci;01/04/2025;2595;2595;2580;2580;1588
CIEC.ci;01/05/2025;2400;2400;2390;2390;148
CIEC.ci;01/07/2024;1995;1995;1995;1995;10276
CIEC.ci;01/07/2025;2550;2550;2525;2525;4306
CIEC.ci;01/08/2024;1900;1900;1900;1900;3163
CIEC.ci;01/10/2024;2195;2200;2195;2200;12166
CIEC.ci;01/11/2024;2495;2495;2355;2355;3662
CIEC.ci;02/04/2025;2590;2710;2590;2710;2472
CIEC.ci;02/05/2025;2215;2335;2215;2335;6412
CIEC.ci;02/06/2025;2300;2395;2300;2395;614
CIEC.ci;02/07/2024;1995;2000;1995;2000;1394
CIEC.ci;02/07/2025;2525;2525;2525;2525;6185
CIEC.ci;02/08/2024;1900;1910;1900;1910;5468
CIEC.ci;02/09/2024;2030;2050;2030;2050;1373
CIEC.ci;02/10/2024;2200;2215;2200;2215;1430
CIEC.ci;02/12/2024;2150;2150;2140;2140;1896
CIEC.ci;03/02/2025;2180;2180;2180;2180;2226
CIEC.ci;03/03/2025;2350;2450;2350;2450;1250
CIEC.ci;03/04/2025;2710;2710;2700;2700;1155
CIEC.ci;03/06/2025;2395;2440;2395;2440;3837
CIEC.ci;03/07/2024;2000;2000;2000;2000;2166
CIEC.ci;03/07/2025;2525;2525;2515;2515;2106
CIEC.ci;03/09/2024;2055;2055;2050;2050;2696
CIEC.ci;03/10/2024;2215;2375;2215;2375;5646
CIEC.ci;03/12/2024;2140;2140;2130;2130;2544
CIEC.ci;04/02/2025;2180;2180;2180;2180;4813
CIEC.ci;04/03/2025;2440;2450;2440;2450;1278
CIEC.ci;04/04/2025;2650;2650;2625;2625;686
CIEC.ci;04/06/2025;2440;2440;2390;2390;1933
CIEC.ci;04/07/2024;2000;2000;1970;1970;5345
CIEC.ci;04/07/2025;2520;2520;2520;2520;1107
CIEC.ci;04/09/2024;2065;2070;2065;2070;2043
CIEC.ci;04/10/2024;2380;2380;2300;2300;2260
CIEC.ci;04/11/2024;2200;2200;2180;2180;6162
CIEC.ci;04/12/2024;2130;2140;2130;2140;2054
CIEC.ci;05/02/2025;2180;2200;2180;2200;2070
CIEC.ci;05/03/2025;2480;2480;2450;2450;807
CIEC.ci;05/05/2025;2215;2340;2215;2340;1889
CIEC.ci;05/06/2025;2420;2420;2405;2405;705
CIEC.ci;05/07/2024;2005;2005;2000;2000;2270
CIEC.ci;05/08/2024;1950;1950;1945;1945;2797
CIEC.ci;05/09/2024;2065;2070;2065;2070;1929
CIEC.ci;05/11/2024;2020;2100;2020;2100;10607
CIEC.ci;05/12/2024;2140;2140;2105;2105;5358
CIEC.ci;06/02/2025;2245;2245;2200;2200;5970
CIEC.ci;06/03/2025;2450;2475;2450;2475;2332
CIEC.ci;06/05/2025;2340;2340;2325;2325;831
CIEC.ci;06/08/2024;1945;1945;1945;1945;2039
CIEC.ci;06/09/2024;2070;2100;2070;2100;3518
CIEC.ci;06/11/2024;2070;2100;2070;2100;3383
CIEC.ci;06/12/2024;2135;2145;2135;2145;7707
CIEC.ci;07/02/2025;2245;2245;2200;2200;5561
CIEC.ci;07/03/2025;2450;2500;2450;2500;1687
CIEC.ci;07/04/2025;2625;2625;2625;2625;1031
CIEC.ci;07/05/2025;2250;2290;2250;2290;2568
CIEC.ci;07/07/2025;2520;2525;2520;2525;2277
CIEC.ci;07/08/2024;1945;1945;1945;1945;2039
CIEC.ci;07/10/2024;2300;2350;2300;2350;1000
CIEC.ci;07/11/2024;2110;2255;2110;2255;9991
CIEC.ci;08/04/2025;2625;2625;2620;2620;3376
CIEC.ci;08/05/2025;2290;2290;2230;2230;19359
CIEC.ci;08/07/2024;2030;2030;1995;1995;6239
CIEC.ci;08/07/2025;2515;2515;2500;2500;975
CIEC.ci;08/08/2024;1945;1990;1945;1990;7437
CIEC.ci;08/10/2024;2350;2350;2340;2340;628
CIEC.ci;08/11/2024;2255;2325;2255;2325;2182
CIEC.ci;09/04/2025;2590;2590;2490;2490;1177
CIEC.ci;09/05/2025;2230;2255;2230;2255;2397
CIEC.ci;09/07/2024;1995;2000;1995;2000;2537
CIEC.ci;09/07/2025;2500;2500;2500;2500;477
CIEC.ci;09/08/2024;1990;1990;1985;1985;1672
CIEC.ci;09/09/2024;2125;2125;2125;2125;940
CIEC.ci;09/10/2024;2350;2360;2350;2360;4541
CIEC.ci;09/12/2024;2145;2230;2145;2230;2158
CIEC.ci;10/02/2025;2205;2205;2200;2200;4007
CIEC.ci;10/03/2025;2500;2565;2500;2565;1554
CIEC.ci;10/04/2025;2500;2500;2485;2485;1304
CIEC.ci;10/06/2025;2405;2405;2405;2405;5536
CIEC.ci;10/07/2024;1970;1980;1970;1980;34401
CIEC.ci;10/07/2025;2460;2500;2460;2500;531
CIEC.ci;10/09/2024;2100;2125;2100;2125;1149
CIEC.ci;10/10/2024;2360;2360;2345;2345;2805
CIEC.ci;10/12/2024;2230;2230;2150;2150;1975
CIEC.ci;11/02/2025;2205;2205;2200;2200;15550
CIEC.ci;11/03/2025;2575;2670;2575;2670;6936
CIEC.ci;11/04/2025;2480;2485;2480;2485;1465
CIEC.ci;11/06/2025;2405;2405;2390;2390;3031
CIEC.ci;11/07/2024;2000;2000;2000;2000;3906
CIEC.ci;11/07/2025;2500;2510;2500;2510;1360
CIEC.ci;11/09/2024;2125;2130;2125;2130;10696
CIEC.ci;11/10/2024;2350;2350;2310;2310;4312
CIEC.ci;11/11/2024;2300;2300;2155;2155;4874
