symbole;date;ouverture;haut;bas;cloture;volume
NEIC.ci;01/04/2025;730;730;730;730;88
NEIC.ci;01/05/2025;595;595;595;595;300
NEIC.ci;01/07/2024;840;840;795;795;1249
NEIC.ci;01/07/2025;595;595;595;595;86
NEIC.ci;01/08/2024;775;775;775;775;878
NEIC.ci;01/10/2024;785;785;780;780;31
NEIC.ci;01/11/2024;790;790;790;790;381
NEIC.ci;02/04/2025;730;730;730;730;1
NEIC.ci;02/05/2025;595;595;595;595;6969
NEIC.ci;02/06/2025;555;555;550;550;247
NEIC.ci;02/07/2024;795;810;795;810;275
NEIC.ci;02/07/2025;595;600;595;600;652
NEIC.ci;02/08/2024;775;775;770;770;23
NEIC.ci;02/09/2024;785;785;730;730;1321
NEIC.ci;02/10/2024;770;770;770;770;71
NEIC.ci;02/12/2024;780;780;780;780;10
NEIC.ci;03/02/2025;745;745;745;745;25
NEIC.ci;03/03/2025;740;740;740;740;89
NEIC.ci;03/04/2025;730;730;730;730;13
NEIC.ci;03/06/2025;550;550;540;540;251
NEIC.ci;03/07/2024;790;790;785;785;349
NEIC.ci;03/07/2025;575;600;575;600;44
NEIC.ci;03/09/2024;740;740;740;740;1036
NEIC.ci;03/10/2024;770;770;770;770;100
NEIC.ci;03/12/2024;725;775;725;775;405
NEIC.ci;04/03/2025;740;740;740;740;451
NEIC.ci;04/04/2025;720;720;720;720;47
NEIC.ci;04/06/2025;540;545;540;545;590
NEIC.ci;04/07/2024;785;785;775;775;184
NEIC.ci;04/07/2025;600;600;580;580;67
NEIC.ci;04/09/2024;740;785;740;785;1668
NEIC.ci;04/10/2024;770;770;765;765;514
NEIC.ci;04/11/2024;815;815;815;815;1000
NEIC.ci;04/12/2024;770;770;770;770;19
NEIC.ci;05/02/2025;745;745;740;740;95
NEIC.ci;05/03/2025;690;735;690;735;1461
NEIC.ci;05/05/2025;590;590;585;585;849
NEIC.ci;05/06/2025;555;555;555;555;2523
NEIC.ci;05/07/2024;760;770;760;770;230
NEIC.ci;05/08/2024;775;775;770;770;366
NEIC.ci;05/09/2024;785;785;785;785;1349
NEIC.ci;05/11/2024;800;800;790;790;45
NEIC.ci;05/12/2024;770;770;770;770;3
NEIC.ci;06/02/2025;710;710;710;710;33
NEIC.ci;06/03/2025;735;735;735;735;25
NEIC.ci;06/05/2025;585;585;550;550;13853
NEIC.ci;06/08/2024;770;770;770;770;24
NEIC.ci;06/09/2024;785;785;780;780;2194
NEIC.ci;06/11/2024;785;785;750;750;129
NEIC.ci;06/12/2024;770;770;770;770;15
NEIC.ci;07/02/2025;710;740;710;740;485
NEIC.ci;07/03/2025;730;730;730;730;20
NEIC.ci;07/04/2025;720;720;720;720;277
NEIC.ci;07/05/2025;550;580;550;580;1619
NEIC.ci;07/07/2025;580;595;580;595;3295
NEIC.ci;07/08/2024;770;770;770;770;24
NEIC.ci;07/10/2024;765;765;765;765;171
NEIC.ci;07/11/2024;710;780;710;780;129
NEIC.ci;08/04/2025;680;720;680;720;914
NEIC.ci;08/05/2025;560;560;560;560;2378
NEIC.ci;08/07/2024;720;795;720;795;915
NEIC.ci;08/07/2025;600;600;595;595;642
NEIC.ci;08/08/2024;770;770;765;765;537
NEIC.ci;08/10/2024;715;765;715;765;32803
NEIC.ci;08/11/2024;780;780;780;780;9
NEIC.ci;09/04/2025;680;720;680;720;2658
NEIC.ci;09/05/2025;560;560;540;540;2590
NEIC.ci;09/07/2024;795;795;790;790;950
NEIC.ci;09/07/2025;595;595;595;595;29
NEIC.ci;09/08/2024;760;765;760;765;626
NEIC.ci;09/09/2024;735;780;735;780;56
NEIC.ci;09/10/2024;710;765;710;765;601
NEIC.ci;09/12/2024;770;770;770;770;32
NEIC.ci;10/02/2025;740;740;735;735;260
NEIC.ci;10/03/2025;735;735;685;685;19
NEIC.ci;10/04/2025;670;670;670;670;1208
NEIC.ci;10/06/2025;555;560;555;560;7660
NEIC.ci;10/07/2024;790;790;790;790;83
NEIC.ci;10/07/2025;595;595;595;595;639
NEIC.ci;10/09/2024;725;785;725;785;408
NEIC.ci;10/10/2024;765;765;765;765;7134
NEIC.ci;10/12/2024;760;760;760;760;21
NEIC.ci;11/02/2025;735;735;725;725;393
NEIC.ci;11/03/2025;680;715;680;715;433
NEIC.ci;11/04/2025;620;620;620;620;821
NEIC.ci;11/06/2025;560;560;560;560;734
NEIC.ci;11/07/2024;790;790;785;785;13
NEIC.ci;11/07/2025;595;595;590;590;167
NEIC.ci;11/09/2024;735;775;735;775;30
NEIC.ci;11/10/2024;765;765;765;765;261
NEIC.ci;11/11/2024;780;780;780;780;20
NEIC.ci;11/12/2024;760;760;760;760;1745
NEIC.ci;12/02/2025;730;730;700;700;216
NEIC.ci;12/03/2025;730;730;720;720;410
NEIC.ci;12/05/2025;515;560;515;560;1454
NEIC.ci;12/06/2025;560;560;555;555;3601
NEIC.ci;12/07/2024;790;790;790;790;105
NEIC.ci;12/08/2024;715;765;715;765;107
NEIC.ci;12/09/2024;770;770;770;770;12
NEIC.ci;12/11/2024;740;780;740;780;688
NEIC.ci;12/12/2024;760;760;760;760;789
NEIC.ci;13/02/2025;700;730;700;730;23
NEIC.ci;13/03/2025;715;715;680;680;102
NEIC.ci;13/05/2025;550;560;550;560;641
NEIC.ci;13/06/2025;555;555;555;555;201
NEIC.ci;13/08/2024;765;770;765;770;678
NEIC.ci;13/09/2024;715;720;715;720;685
NEIC.ci;13/11/2024;780;780;780;780;21
NEIC.ci;13/12/2024;755;755;750;750;20
NEIC.ci;14/02/2025;730;730;730;730;245
NEIC.ci;14/03/2025;680;680;680;680;1255
NEIC.ci;14/04/2025;600;620;600;620;2763
NEIC.ci;14/05/2025;560;600;560;600;2642
NEIC.ci;14/07/2025;590;590;590;590;194
NEIC.ci;14/08/2024;765;770;765;770;630
NEIC.ci;14/10/2024;765;765;765;765;22
NEIC.ci;14/11/2024;725;780;725;780;322
NEIC.ci;15/04/2025;620;620;575;575;1776
NEIC.ci;15/05/2025;590;590;580;580;2594
NEIC.ci;15/07/2024;790;790;790;790;13
NEIC.ci;15/08/2024;765;770;765;770;630
NEIC.ci;15/10/2024;760;760;760;760;2
NEIC.ci;15/11/2024;725;780;725;780;322
NEIC.ci;16/04/2025;540;615;540;615;2205
NEIC.ci;16/05/2025;580;580;575;575;521
NEIC.ci;16/06/2025;565;590;565;590;1954
NEIC.ci;16/07/2024;785;785;780;780;31
NEIC.ci;16/08/2024;770;770;765;765;157
NEIC.ci;16/09/2024;720;770;720;770;180
NEIC.ci;16/10/2024;765;815;765;815;11093
NEIC.ci;16/12/2024;750;750;740;740;39
NEIC.ci;17/02/2025;730;730;725;725;18
NEIC.ci;17/03/2025;725;725;720;720;74
NEIC.ci;17/04/2025;615;615;615;615;12966
NEIC.ci;17/06/2025;590;590;580;580;7650
NEIC.ci;17/07/2024;775;775;775;775;30
NEIC.ci;17/09/2024;770;770;770;770;28
NEIC.ci;17/10/2024;815;815;815;815;470
NEIC.ci;17/12/2024;740;740;740;740;4
NEIC.ci;18/02/2025;720;730;720;730;992
NEIC.ci;18/03/2025;720;720;720;720;323
NEIC.ci;18/04/2025;615;615;615;615;104
NEIC.ci;18/06/2025;580;595;580;595;244
NEIC.ci;18/07/2024;770;770;770;770;156
NEIC.ci;18/09/2024;715;720;715;720;582
NEIC.ci;18/10/2024;800;800;800;800;3669
NEIC.ci;18/11/2024;765;765;765;765;810
NEIC.ci;18/12/2024;710;740;710;740;36
NEIC.ci;19/02/2025;730;730;730;730;308
NEIC.ci;19/03/2025;715;725;715;725;1198
NEIC.ci;19/05/2025;570;570;570;570;1364
NEIC.ci;19/06/2025;595;600;595;600;597
NEIC.ci;19/07/2024;770;770;770;770;155
NEIC.ci;19/08/2024;770;770;770;770;76
NEIC.ci;19/09/2024;725;770;725;770;113
NEIC.ci;19/11/2024;765;775;765;775;4441
NEIC.ci;19/12/2024;740;740;740;740;450
NEIC.ci;20/02/2025;730;730;730;730;14
NEIC.ci;20/03/2025;725;725;725;725;10
NEIC.ci;20/05/2025;565;565;560;560;1220
NEIC.ci;20/06/2025;600;600;585;585;1471
NEIC.ci;20/08/2024;770;770;720;720;343
NEIC.ci;20/09/2024;765;785;765;785;154452
NEIC.ci;20/11/2024;780;780;765;765;189
NEIC.ci;20/12/2024;685;750;685;750;610
NEIC.ci;21/02/2025;725;730;725;730;1744
NEIC.ci;21/03/2025;730;730;730;730;6
NEIC.ci;21/04/2025;615;615;615;615;104
NEIC.ci;21/05/2025;540;560;540;560;1518
NEIC.ci;21/08/2024;715;770;715;770;500
NEIC.ci;21/10/2024;800;800;800;800;34
NEIC.ci;21/11/2024;715;765;715;765;151
NEIC.ci;22/04/2025;615;615;605;605;1595
NEIC.ci;22/05/2025;555;555;550;550;1200
NEIC.ci;22/07/2024;745;770;745;770;988
NEIC.ci;22/08/2024;770;770;770;770;33
NEIC.ci;22/10/2024;780;800;780;800;25
NEIC.ci;22/11/2024;765;765;765;765;18
NEIC.ci;23/05/2025;550;550;545;545;36423
