symbole;date;ouverture;haut;bas;cloture;volume
NSBC.ci;01/04/2025;8400;8400;8300;8300;2179
NSBC.ci;01/05/2025;8000;8000;7950;7950;1342
NSBC.ci;01/07/2024;6295;6295;6295;6295;3868
NSBC.ci;01/07/2025;10400;10400;10200;10200;3392
NSBC.ci;01/08/2024;5950;5995;5950;5995;538
NSBC.ci;01/10/2024;6300;6400;6300;6400;1118
NSBC.ci;01/11/2024;7805;7805;7805;7805;508
NSBC.ci;02/04/2025;8250;8250;8250;8250;7417
NSBC.ci;02/05/2025;7955;8095;7955;8095;387
NSBC.ci;02/06/2025;8800;8985;8800;8985;913
NSBC.ci;02/07/2024;6300;6300;6300;6300;1091
NSBC.ci;02/07/2025;10200;10200;10200;10200;1522
NSBC.ci;02/08/2024;5880;5980;5880;5980;750
NSBC.ci;02/09/2024;6495;6495;6495;6495;715
NSBC.ci;02/10/2024;6400;6400;6400;6400;1828
NSBC.ci;02/12/2024;7580;7580;7445;7445;473
NSBC.ci;03/02/2025;7590;7650;7590;7650;511
NSBC.ci;03/03/2025;8830;8830;8830;8830;345
NSBC.ci;03/04/2025;8245;8260;8245;8260;639
NSBC.ci;03/06/2025;8985;9000;8985;9000;1341
NSBC.ci;03/07/2024;6300;6300;6300;6300;2364
NSBC.ci;03/07/2025;9510;10200;9510;10200;1865
NSBC.ci;03/09/2024;6450;6495;6450;6495;1169
NSBC.ci;03/10/2024;6400;6400;6350;6350;1628
NSBC.ci;03/12/2024;7445;7445;7430;7430;558
NSBC.ci;04/02/2025;7600;7950;7600;7950;342
NSBC.ci;04/03/2025;8750;8800;8750;8800;377
NSBC.ci;04/04/2025;8255;8255;8200;8200;952
NSBC.ci;04/06/2025;9000;9000;9000;9000;1241
NSBC.ci;04/07/2024;6100;6285;6100;6285;740
NSBC.ci;04/07/2025;10200;10200;10200;10200;4234
NSBC.ci;04/09/2024;6495;6495;6495;6495;3172
NSBC.ci;04/10/2024;6400;6455;6400;6455;1080
NSBC.ci;04/11/2024;7805;7805;7505;7505;1517
NSBC.ci;04/12/2024;7445;7445;7430;7430;601
NSBC.ci;05/02/2025;7690;8000;7690;8000;439
NSBC.ci;05/03/2025;8700;8800;8700;8800;1191
NSBC.ci;05/05/2025;8095;8200;8095;8200;517
NSBC.ci;05/06/2025;8995;8995;8985;8985;492
NSBC.ci;05/07/2024;5975;6250;5975;6250;826
NSBC.ci;05/08/2024;5980;5980;5980;5980;1625
NSBC.ci;05/09/2024;6495;6495;6490;6490;528
NSBC.ci;05/11/2024;7505;7550;7505;7550;399
NSBC.ci;05/12/2024;7430;7430;7405;7405;733
NSBC.ci;06/02/2025;7995;8200;7995;8200;1927
NSBC.ci;06/03/2025;8800;8800;8800;8800;537
NSBC.ci;06/05/2025;8215;8310;8215;8310;728
NSBC.ci;06/08/2024;5900;5990;5900;5990;418
NSBC.ci;06/09/2024;6495;6495;6490;6490;1073
NSBC.ci;06/11/2024;7550;7550;7500;7500;510
NSBC.ci;06/12/2024;7405;7440;7405;7440;441
NSBC.ci;07/02/2025;8395;8395;8200;8200;590
NSBC.ci;07/03/2025;8800;8800;8800;8800;6587
NSBC.ci;07/04/2025;8200;8250;8200;8250;772
NSBC.ci;07/05/2025;8400;8450;8400;8450;844
NSBC.ci;07/07/2025;10000;10000;9850;9850;873
NSBC.ci;07/08/2024;5900;5990;5900;5990;418
NSBC.ci;07/10/2024;6455;6455;6455;6455;1101
NSBC.ci;07/11/2024;7200;7350;7200;7350;1289
NSBC.ci;08/04/2025;8200;8205;8200;8205;544
NSBC.ci;08/05/2025;8450;8635;8450;8635;564
NSBC.ci;08/07/2024;6250;6250;6150;6150;21014
NSBC.ci;08/07/2025;9850;9850;9405;9405;2061
NSBC.ci;08/08/2024;5990;6000;5990;6000;468
NSBC.ci;08/10/2024;6455;6455;6455;6455;1600
NSBC.ci;08/11/2024;7450;7450;7445;7445;854
NSBC.ci;09/04/2025;8125;8125;7800;7800;3843
NSBC.ci;09/05/2025;8635;8655;8635;8655;938
NSBC.ci;09/07/2024;6145;6195;6145;6195;378
NSBC.ci;09/07/2025;9405;9650;9405;9650;619
NSBC.ci;09/08/2024;5990;5990;5980;5980;699
NSBC.ci;09/09/2024;6495;6495;6490;6490;2239
NSBC.ci;09/10/2024;6450;6450;6450;6450;7879
NSBC.ci;09/12/2024;7405;7445;7405;7445;198
NSBC.ci;10/02/2025;8200;8210;8200;8210;453
NSBC.ci;10/03/2025;8700;8900;8700;8900;2551
NSBC.ci;10/04/2025;7800;8000;7800;8000;576
NSBC.ci;10/06/2025;8985;8985;8700;8700;6775
NSBC.ci;10/07/2024;6180;6195;6180;6195;210
NSBC.ci;10/07/2025;9695;9695;9650;9650;1832
NSBC.ci;10/09/2024;6450;6455;6450;6455;1471
NSBC.ci;10/10/2024;6445;6445;6440;6440;679
NSBC.ci;10/12/2024;7440;7440;7405;7405;725
NSBC.ci;11/02/2025;8250;8250;8200;8200;794
NSBC.ci;11/03/2025;8950;9000;8950;9000;3909
NSBC.ci;11/04/2025;8000;8000;8000;8000;2343
NSBC.ci;11/06/2025;8700;8995;8700;8995;2196
NSBC.ci;11/07/2024;6195;6195;6000;6000;6479
NSBC.ci;11/07/2025;9650;9650;9550;9550;474
NSBC.ci;11/09/2024;6450;6495;6450;6495;1425
NSBC.ci;11/10/2024;6400;6430;6400;6430;3060
NSBC.ci;11/11/2024;7445;7445;7445;7445;1788
NSBC.ci;11/12/2024;7400;7400;7400;7400;745
NSBC.ci;12/02/2025;8200;8200;8200;8200;2217
NSBC.ci;12/03/2025;8900;8995;8900;8995;579
NSBC.ci;12/05/2025;8650;8690;8650;8690;669
NSBC.ci;12/06/2025;8995;8995;8800;8800;1707
NSBC.ci;12/07/2024;6000;6000;5995;5995;524
NSBC.ci;12/08/2024;5980;5980;5950;5950;987
NSBC.ci;12/09/2024;6495;6495;6350;6350;2640
NSBC.ci;12/11/2024;7455;7500;7455;7500;2068
NSBC.ci;12/12/2024;7400;7400;7400;7400;178
NSBC.ci;13/02/2025;8200;8245;8200;8245;1407
NSBC.ci;13/03/2025;8950;8985;8950;8985;777
NSBC.ci;13/05/2025;8700;8700;8695;8695;2022
NSBC.ci;13/06/2025;8800;8800;8800;8800;5743
