symbole;date;ouverture;haut;bas;cloture;volume
NTLC.ci;01/04/2025;9995;9995;9950;9950;454
NTLC.ci;01/05/2025;9990;9990;9990;9990;34
NTLC.ci;01/07/2024;7500;7500;7500;7500;1958
NTLC.ci;01/07/2025;11135;11150;11135;11150;3878
NTLC.ci;01/08/2024;8000;8000;7500;7500;1702
NTLC.ci;01/10/2024;7000;7000;7000;7000;2389
NTLC.ci;01/11/2024;7885;7885;7875;7875;703
NTLC.ci;02/04/2025;9900;9950;9900;9950;7543
NTLC.ci;02/05/2025;9900;9940;9900;9940;3578
NTLC.ci;02/06/2025;10640;10700;10640;10700;309
NTLC.ci;02/07/2024;7495;7495;7390;7390;2267
NTLC.ci;02/07/2025;11150;11345;11150;11345;4264
NTLC.ci;02/08/2024;7990;7990;7790;7790;11806
NTLC.ci;02/09/2024;7100;7100;7050;7050;887
NTLC.ci;02/10/2024;7000;7000;7000;7000;1604
NTLC.ci;02/12/2024;7995;7995;7985;7985;650
NTLC.ci;03/02/2025;8390;8400;8390;8400;1437
NTLC.ci;03/03/2025;9355;9355;9300;9300;3134
NTLC.ci;03/04/2025;9950;9950;9950;9950;2852
NTLC.ci;03/06/2025;10700;10700;10640;10640;1181
NTLC.ci;03/07/2024;7490;7495;7490;7495;2968
NTLC.ci;03/07/2025;11345;11345;11345;11345;457
NTLC.ci;03/09/2024;7050;7050;7000;7000;3697
NTLC.ci;03/10/2024;7000;7000;7000;7000;3555
NTLC.ci;03/12/2024;7985;7985;7950;7950;2182
NTLC.ci;04/02/2025;8500;8500;8425;8425;4630
NTLC.ci;04/03/2025;9290;9290;9250;9250;4046
NTLC.ci;04/04/2025;9850;9980;9850;9980;365
NTLC.ci;04/06/2025;10650;10750;10650;10750;681
NTLC.ci;04/07/2024;7500;7500;7500;7500;30663
NTLC.ci;04/07/2025;11345;11345;11340;11340;820
NTLC.ci;04/09/2024;7000;7150;7000;7150;3146
NTLC.ci;04/10/2024;7000;7000;7000;7000;1674
NTLC.ci;04/11/2024;7875;7875;7800;7800;6752
NTLC.ci;04/12/2024;7985;7985;7955;7955;2248
NTLC.ci;05/02/2025;8500;8525;8500;8525;6953
NTLC.ci;05/03/2025;9250;9350;9250;9350;306
NTLC.ci;05/05/2025;9940;9940;9800;9800;1689
NTLC.ci;05/06/2025;10750;10750;10745;10745;81
NTLC.ci;05/07/2024;7500;7800;7500;7800;3046
NTLC.ci;05/08/2024;7790;7790;7775;7775;7679
NTLC.ci;05/09/2024;7150;7150;7000;7000;1923
NTLC.ci;05/11/2024;7800;7800;7750;7750;26441
NTLC.ci;05/12/2024;7955;7975;7955;7975;437
NTLC.ci;06/02/2025;8525;8895;8525;8895;6237
NTLC.ci;06/03/2025;9350;9350;9350;9350;2260
NTLC.ci;06/05/2025;9800;9800;9790;9790;285
NTLC.ci;06/08/2024;7500;7795;7500;7795;5711
NTLC.ci;06/09/2024;7100;7100;7000;7000;2346
NTLC.ci;06/11/2024;7800;7800;7800;7800;11883
NTLC.ci;06/12/2024;7975;7975;7950;7950;2871
NTLC.ci;07/02/2025;8980;8980;8895;8895;940
NTLC.ci;07/03/2025;9360;9500;9360;9500;1822
NTLC.ci;07/04/2025;9850;9945;9850;9945;1680
NTLC.ci;07/05/2025;9780;9980;9780;9980;20499
NTLC.ci;07/07/2025;11335;11335;11335;11335;1739
NTLC.ci;07/08/2024;7500;7795;7500;7795;5711
NTLC.ci;07/10/2024;7000;7000;7000;7000;3354
NTLC.ci;07/11/2024;7800;7800;7795;7795;721
NTLC.ci;08/04/2025;9945;9995;9945;9995;677
NTLC.ci;08/05/2025;9800;9800;9500;9500;4228
NTLC.ci;08/07/2024;7800;7800;7500;7500;1916
