symbole;date;ouverture;haut;bas;cloture;volume
ONTBF.bf;01/04/2025;2750;2750;2750;2750;2330
ONTBF.bf;01/05/2025;2500;2500;2490;2490;386
ONTBF.bf;01/07/2024;2845;2845;2785;2785;3477
ONTBF.bf;01/07/2025;2600;2635;2600;2635;699
ONTBF.bf;01/08/2024;2680;2680;2655;2655;6514
ONTBF.bf;01/10/2024;2455;2485;2455;2485;2156
ONTBF.bf;01/11/2024;2400;2400;2390;2390;1450
ONTBF.bf;02/04/2025;2750;2750;2740;2740;1291
ONTBF.bf;02/05/2025;2485;2485;2480;2480;1911
ONTBF.bf;02/06/2025;2600;2600;2575;2575;2466
ONTBF.bf;02/07/2024;2790;2795;2790;2795;7747
ONTBF.bf;02/07/2025;2510;2650;2510;2650;12558
ONTBF.bf;02/08/2024;2650;2650;2600;2600;9110
ONTBF.bf;02/09/2024;2745;2745;2690;2690;19084
ONTBF.bf;02/10/2024;2490;2490;2450;2450;3259
ONTBF.bf;02/12/2024;2300;2300;2300;2300;1835
ONTBF.bf;03/02/2025;2285;2285;2275;2275;1307
ONTBF.bf;03/03/2025;2450;2450;2420;2420;778
ONTBF.bf;03/04/2025;2740;2740;2705;2705;1230
ONTBF.bf;03/06/2025;2555;2560;2555;2560;2301
ONTBF.bf;03/07/2024;2785;2795;2785;2795;1876
ONTBF.bf;03/07/2025;2650;2650;2640;2640;36870
ONTBF.bf;03/09/2024;2650;2695;2650;2695;1733
ONTBF.bf;03/10/2024;2450;2480;2450;2480;798
ONTBF.bf;03/12/2024;2300;2300;2300;2300;1589
ONTBF.bf;04/02/2025;2285;2285;2285;2285;1992
ONTBF.bf;04/03/2025;2420;2450;2420;2450;3889
ONTBF.bf;04/04/2025;2680;2680;2675;2675;1149
ONTBF.bf;04/06/2025;2580;2580;2580;2580;442
ONTBF.bf;04/07/2024;2800;2800;2800;2800;837
ONTBF.bf;04/07/2025;2660;2690;2660;2690;1084
ONTBF.bf;04/09/2024;2695;2695;2670;2670;6175
ONTBF.bf;04/10/2024;2490;2490;2460;2460;2668
ONTBF.bf;04/11/2024;2385;2395;2385;2395;4185
ONTBF.bf;04/12/2024;2300;2300;2300;2300;2104
ONTBF.bf;05/02/2025;2285;2380;2285;2380;6315
ONTBF.bf;05/03/2025;2490;2490;2480;2480;3496
ONTBF.bf;05/05/2025;2465;2465;2400;2400;6179
ONTBF.bf;05/06/2025;2585;2585;2565;2565;1061
ONTBF.bf;05/07/2024;2800;2800;2775;2775;7868
ONTBF.bf;05/08/2024;2600;2600;2480;2480;34860
ONTBF.bf;05/09/2024;2680;2690;2680;2690;7923
ONTBF.bf;05/11/2024;2350;2350;2250;2250;15244
ONTBF.bf;05/12/2024;2345;2345;2300;2300;1163
ONTBF.bf;06/02/2025;2380;2380;2360;2360;543
ONTBF.bf;06/03/2025;2490;2500;2490;2500;2617
ONTBF.bf;06/05/2025;2400;2450;2400;2450;1530
ONTBF.bf;06/08/2024;2490;2490;2490;2490;3932
ONTBF.bf;06/09/2024;2700;2700;2690;2690;7276
ONTBF.bf;06/11/2024;2230;2340;2230;2340;9298
ONTBF.bf;06/12/2024;2300;2340;2300;2340;2575
ONTBF.bf;07/02/2025;2360;2365;2360;2365;3044
ONTBF.bf;07/03/2025;2500;2625;2500;2625;3562
ONTBF.bf;07/04/2025;2650;2650;2570;2570;2406
ONTBF.bf;07/05/2025;2440;2440;2430;2430;2025
ONTBF.bf;07/07/2025;2690;2690;2660;2660;2343
ONTBF.bf;07/08/2024;2490;2490;2490;2490;3932
ONTBF.bf;07/10/2024;2450;2450;2400;2400;7497
ONTBF.bf;07/11/2024;2340;2340;2325;2325;967
ONTBF.bf;08/04/2025;2500;2560;2500;2560;9727
ONTBF.bf;08/05/2025;2430;2430;2430;2430;4838
