symbole;date;ouverture;haut;bas;cloture;volume
PRSC.ci;01/04/2025;2000;2000;2000;2000;107
PRSC.ci;01/05/2025;1935;1935;1935;1935;9
PRSC.ci;01/07/2024;2295;2295;2150;2150;250
PRSC.ci;01/07/2025;2600;2600;2500;2500;71
PRSC.ci;01/08/2024;2205;2540;2205;2540;152
PRSC.ci;01/10/2024;2150;2275;2150;2275;250
PRSC.ci;01/11/2024;2000;2000;1985;1985;282
PRSC.ci;02/04/2025;2000;2000;2000;2000;82
PRSC.ci;02/05/2025;2050;2080;2050;2080;2678
PRSC.ci;02/06/2025;2430;2440;2430;2440;446
PRSC.ci;02/07/2024;2155;2155;2155;2155;36
PRSC.ci;02/07/2025;2450;2600;2450;2600;13
PRSC.ci;02/08/2024;2520;2600;2520;2600;55
PRSC.ci;02/09/2024;2600;2600;2590;2590;7
PRSC.ci;02/10/2024;2275;2275;2160;2160;61
PRSC.ci;03/02/2025;1810;1850;1810;1850;835
PRSC.ci;03/03/2025;1885;1885;1880;1880;2190
PRSC.ci;03/06/2025;2440;2440;2440;2440;165
PRSC.ci;03/07/2024;2155;2155;2155;2155;36
PRSC.ci;03/07/2025;2600;2600;2600;2600;17
PRSC.ci;03/09/2024;2590;2590;2580;2580;577
PRSC.ci;03/10/2024;2275;2275;2160;2160;61
PRSC.ci;03/12/2024;1980;1980;1950;1950;100
PRSC.ci;04/02/2025;1850;1850;1850;1850;305
PRSC.ci;04/03/2025;1880;1880;1810;1810;436
PRSC.ci;04/04/2025;2000;2085;2000;2085;215
PRSC.ci;04/06/2025;2440;2440;2440;2440;54
PRSC.ci;04/07/2024;2155;2155;2155;2155;36
PRSC.ci;04/07/2025;2500;2500;2500;2500;200
PRSC.ci;04/09/2024;2575;2575;2575;2575;25
PRSC.ci;04/10/2024;2160;2275;2160;2275;760
PRSC.ci;04/11/2024;1840;2000;1840;2000;713
PRSC.ci;04/12/2024;2095;2095;2095;2095;1
PRSC.ci;05/02/2025;1895;1975;1895;1975;26
PRSC.ci;05/03/2025;1850;1880;1850;1880;1475
PRSC.ci;05/05/2025;2100;2100;2090;2090;509
PRSC.ci;05/06/2025;2440;2440;2400;2400;128
PRSC.ci;05/07/2024;2160;2170;2160;2170;110
PRSC.ci;05/08/2024;2600;2600;2550;2550;297
PRSC.ci;05/09/2024;2400;2440;2400;2440;479
PRSC.ci;05/11/2024;2000;2000;2000;2000;126
PRSC.ci;05/12/2024;2095;2095;1940;1940;795
PRSC.ci;06/02/2025;1975;1985;1975;1985;63
PRSC.ci;06/03/2025;1880;1880;1875;1875;593
PRSC.ci;06/05/2025;2090;2090;2050;2050;122
PRSC.ci;06/08/2024;2600;2600;2550;2550;297
PRSC.ci;06/09/2024;2500;2500;2260;2260;589
PRSC.ci;06/11/2024;2000;2000;2000;2000;189
PRSC.ci;06/12/2024;1940;1940;1940;1940;34
PRSC.ci;07/02/2025;1975;1985;1975;1985;54
PRSC.ci;07/03/2025;1870;1875;1870;1875;526
PRSC.ci;07/04/2025;2080;2080;2080;2080;2
PRSC.ci;07/05/2025;2055;2150;2055;2150;585
PRSC.ci;07/07/2025;2595;2600;2595;2600;158
PRSC.ci;07/10/2024;2105;2115;2105;2115;88
PRSC.ci;07/11/2024;2000;2000;2000;2000;8
PRSC.ci;08/04/2025;1925;2080;1925;2080;24
