symbole;date;ouverture;haut;bas;cloture;volume
SAFC.ci;01/04/2025;790;800;790;800;357
SAFC.ci;01/05/2025;655;660;655;660;156
SAFC.ci;01/07/2024;975;980;975;980;157
SAFC.ci;01/07/2025;690;690;690;690;2811
SAFC.ci;01/08/2024;860;860;860;860;1
SAFC.ci;01/10/2024;870;870;870;870;50
SAFC.ci;02/04/2025;800;800;790;790;27
SAFC.ci;02/05/2025;690;700;690;700;83
SAFC.ci;02/06/2025;695;695;690;690;906
SAFC.ci;02/07/2024;975;975;975;975;55
SAFC.ci;02/07/2025;690;690;650;650;2153
SAFC.ci;02/08/2024;860;860;860;860;645
SAFC.ci;02/09/2024;895;965;895;965;49
SAFC.ci;02/10/2024;805;805;805;805;1
SAFC.ci;02/12/2024;700;700;700;700;1
SAFC.ci;03/02/2025;815;815;815;815;118
SAFC.ci;03/03/2025;795;795;795;795;2
SAFC.ci;03/06/2025;690;690;690;690;824
SAFC.ci;03/07/2024;980;980;980;980;52
SAFC.ci;03/07/2025;660;660;650;650;10546
SAFC.ci;03/09/2024;895;895;895;895;68
SAFC.ci;03/10/2024;805;805;805;805;932
SAFC.ci;03/12/2024;685;685;685;685;30
SAFC.ci;04/04/2025;785;785;785;785;1
SAFC.ci;04/06/2025;655;690;655;690;532
SAFC.ci;04/07/2024;980;980;975;975;7
SAFC.ci;04/07/2025;695;695;670;670;7116
SAFC.ci;04/09/2024;860;860;830;830;443
SAFC.ci;04/10/2024;800;850;800;850;733
SAFC.ci;04/11/2024;785;785;785;785;59
SAFC.ci;04/12/2024;685;685;685;685;22
SAFC.ci;05/02/2025;785;785;755;755;742
SAFC.ci;05/03/2025;785;800;785;800;90
SAFC.ci;05/05/2025;680;680;680;680;161
SAFC.ci;05/06/2025;695;695;690;690;187
SAFC.ci;05/07/2024;980;980;980;980;45
SAFC.ci;05/08/2024;860;860;860;860;156
SAFC.ci;05/09/2024;830;830;825;825;11
SAFC.ci;05/11/2024;785;800;785;800;51
SAFC.ci;05/12/2024;650;700;650;700;437
SAFC.ci;06/02/2025;810;810;810;810;2
SAFC.ci;06/03/2025;805;805;800;800;266
SAFC.ci;06/05/2025;680;680;635;635;55
SAFC.ci;06/08/2024;860;860;860;860;156
SAFC.ci;06/09/2024;830;830;830;830;300
SAFC.ci;06/11/2024;740;800;740;800;118
SAFC.ci;06/12/2024;700;700;700;700;59
SAFC.ci;07/02/2025;810;810;810;810;31
SAFC.ci;07/04/2025;780;780;730;730;14
SAFC.ci;07/05/2025;630;635;630;635;3552
SAFC.ci;07/07/2025;675;675;670;670;18211
SAFC.ci;07/10/2024;850;850;850;850;137
SAFC.ci;07/11/2024;740;800;740;800;668
SAFC.ci;08/04/2025;730;730;730;730;214
SAFC.ci;08/05/2025;640;640;640;640;926
SAFC.ci;08/07/2024;975;975;975;975;29
SAFC.ci;08/07/2025;700;700;665;665;35288
SAFC.ci;08/10/2024;840;840;840;840;10
SAFC.ci;08/11/2024;800;800;795;795;14347
SAFC.ci;09/04/2025;725;730;725;730;172
SAFC.ci;09/05/2025;640;640;630;630;196
SAFC.ci;09/07/2024;905;980;905;980;38
SAFC.ci;09/07/2025;700;700;670;670;12182
SAFC.ci;09/08/2024;860;860;860;860;54
SAFC.ci;09/09/2024;800;800;770;770;368
SAFC.ci;09/10/2024;780;835;780;835;1525
SAFC.ci;09/12/2024;700;730;700;730;76
SAFC.ci;10/02/2025;810;825;810;825;133
SAFC.ci;10/03/2025;800;800;740;740;295
SAFC.ci;10/06/2025;690;690;685;685;316
SAFC.ci;10/07/2024;980;980;980;980;1
SAFC.ci;10/07/2025;700;700;695;695;7535
SAFC.ci;10/09/2024;825;825;825;825;1
SAFC.ci;10/10/2024;835;835;835;835;104
SAFC.ci;10/12/2024;730;730;730;730;10
SAFC.ci;11/03/2025;750;795;750;795;497
SAFC.ci;11/04/2025;700;700;680;680;651
SAFC.ci;11/06/2025;690;690;685;685;2747
SAFC.ci;11/07/2024;980;980;980;980;30
SAFC.ci;11/07/2025;695;695;650;650;9867
SAFC.ci;11/09/2024;885;885;885;885;11
SAFC.ci;11/10/2024;835;835;835;835;6
SAFC.ci;11/11/2024;795;795;795;795;59
SAFC.ci;11/12/2024;730;730;730;730;27
SAFC.ci;12/02/2025;825;825;825;825;10
SAFC.ci;12/03/2025;800;800;800;800;184
SAFC.ci;12/05/2025;675;675;635;635;912
SAFC.ci;12/06/2025;690;690;670;670;690
SAFC.ci;12/07/2024;975;975;975;975;1
SAFC.ci;12/08/2024;900;900;900;900;10
SAFC.ci;12/09/2024;950;950;950;950;79
SAFC.ci;13/02/2025;820;825;820;825;100
SAFC.ci;13/03/2025;800;800;800;800;212
SAFC.ci;13/05/2025;635;635;635;635;768
SAFC.ci;13/06/2025;670;690;670;690;84
SAFC.ci;13/08/2024;965;965;965;965;730
SAFC.ci;13/09/2024;880;880;880;880;200
SAFC.ci;13/11/2024;790;790;790;790;6
SAFC.ci;14/02/2025;825;825;825;825;5
SAFC.ci;14/03/2025;800;800;800;800;101
SAFC.ci;14/04/2025;680;700;680;700;150
SAFC.ci;14/05/2025;590;675;590;675;1566
SAFC.ci;14/07/2025;695;695;695;695;70647
SAFC.ci;14/08/2024;965;965;965;965;730
SAFC.ci;14/10/2024;835;835;820;820;92
SAFC.ci;14/11/2024;790;790;735;735;217
SAFC.ci;15/04/2025;680;700;680;700;10
SAFC.ci;15/05/2025;700;700;700;700;23308
SAFC.ci;15/07/2024;975;975;975;975;1
SAFC.ci;15/10/2024;780;800;780;800;864
SAFC.ci;15/11/2024;790;790;735;735;217
SAFC.ci;16/04/2025;700;700;700;700;34
SAFC.ci;16/05/2025;695;700;695;700;4554
SAFC.ci;16/06/2025;690;690;685;685;1055
SAFC.ci;16/07/2024;910;975;910;975;90
SAFC.ci;16/08/2024;965;965;965;965;4
SAFC.ci;16/09/2024;815;865;815;865;95
SAFC.ci;16/10/2024;795;795;795;795;130
SAFC.ci;16/12/2024;730;730;730;730;104
SAFC.ci;17/02/2025;765;765;765;765;28
SAFC.ci;17/03/2025;790;800;790;800;131
SAFC.ci;17/04/2025;680;700;680;700;121
SAFC.ci;17/06/2025;690;690;690;690;8175
SAFC.ci;17/07/2024;965;965;905;905;224
SAFC.ci;17/09/2024;815;870;815;870;177
SAFC.ci;17/10/2024;740;795;740;795;175
SAFC.ci;17/12/2024;730;730;690;690;60
SAFC.ci;18/02/2025;765;815;765;815;79
SAFC.ci;18/03/2025;740;800;740;800;51
SAFC.ci;18/06/2025;690;690;690;690;88
SAFC.ci;18/07/2024;905;905;905;905;2276
SAFC.ci;18/09/2024;870;870;870;870;100
SAFC.ci;18/10/2024;790;790;790;790;12
SAFC.ci;18/11/2024;730;730;730;730;275
SAFC.ci;18/12/2024;700;730;700;730;123
SAFC.ci;19/02/2025;825;825;825;825;22
SAFC.ci;19/03/2025;800;800;800;800;30
SAFC.ci;19/05/2025;705;720;705;720;2470
