symbole;date;ouverture;haut;bas;cloture;volume
SDCC.ci;01/04/2025;6580;6600;6580;6600;1698
SDCC.ci;01/05/2025;6400;6400;6400;6400;1227
SDCC.ci;01/07/2024;5325;5330;5325;5330;145
SDCC.ci;01/07/2025;6000;6100;6000;6100;287
SDCC.ci;01/08/2024;5400;5400;5200;5200;8778
SDCC.ci;01/10/2024;5300;5500;5300;5500;686
SDCC.ci;01/11/2024;5500;5500;5500;5500;260
SDCC.ci;02/04/2025;6600;6600;6570;6570;628
SDCC.ci;02/05/2025;5920;6270;5920;6270;9129
SDCC.ci;02/06/2025;6350;6350;6300;6300;528
SDCC.ci;02/07/2024;5325;5325;5325;5325;157
SDCC.ci;02/07/2025;6085;6085;6050;6050;64
SDCC.ci;02/08/2024;5400;5400;5400;5400;2690
SDCC.ci;02/09/2024;5970;5970;5965;5965;1188
SDCC.ci;02/10/2024;5595;5595;5500;5500;1685
SDCC.ci;02/12/2024;5500;5890;5500;5890;2664
SDCC.ci;03/02/2025;5845;5950;5845;5950;9300
SDCC.ci;03/03/2025;6010;6195;6010;6195;542
SDCC.ci;03/04/2025;6595;6595;6450;6450;1677
SDCC.ci;03/06/2025;6300;6350;6300;6350;774
SDCC.ci;03/07/2024;5325;5325;5325;5325;8535
SDCC.ci;03/07/2025;6100;6100;6065;6065;662
SDCC.ci;03/09/2024;5965;5965;5965;5965;1060
SDCC.ci;03/10/2024;5590;5590;5590;5590;320
SDCC.ci;03/12/2024;5885;5885;5700;5700;1174
SDCC.ci;04/02/2025;5925;5985;5925;5985;5232
SDCC.ci;04/03/2025;6200;6210;6200;6210;612
SDCC.ci;04/04/2025;6600;6600;6400;6400;610
SDCC.ci;04/06/2025;6000;6345;6000;6345;3583
SDCC.ci;04/07/2024;5325;5325;5250;5250;295
SDCC.ci;04/07/2025;6000;6000;6000;6000;149
SDCC.ci;04/09/2024;5965;5970;5965;5970;5530
SDCC.ci;04/10/2024;5500;5585;5500;5585;941
SDCC.ci;04/11/2024;5495;5495;5445;5445;775
SDCC.ci;04/12/2024;5700;5700;5695;5695;314
SDCC.ci;05/02/2025;5985;5990;5985;5990;895
SDCC.ci;05/03/2025;6450;6450;6400;6400;297
SDCC.ci;05/05/2025;5950;6000;5950;6000;599
SDCC.ci;05/06/2025;6350;6350;6350;6350;141
SDCC.ci;05/07/2024;5260;5260;5250;5250;337
SDCC.ci;05/08/2024;5415;5550;5415;5550;3297
SDCC.ci;05/09/2024;5970;5970;5950;5950;399
SDCC.ci;05/11/2024;5450;5450;5040;5040;14170
SDCC.ci;05/12/2024;5695;5695;5695;5695;475
SDCC.ci;06/02/2025;5990;5990;5990;5990;574
SDCC.ci;06/03/2025;6400;6445;6400;6445;1645
SDCC.ci;06/05/2025;5900;6100;5900;6100;565
SDCC.ci;06/08/2024;5550;5550;5400;5400;1747
SDCC.ci;06/09/2024;5950;5965;5950;5965;3825
SDCC.ci;06/11/2024;5040;5350;5040;5350;329
SDCC.ci;06/12/2024;5700;5700;5600;5600;706
SDCC.ci;07/02/2025;5995;5995;5995;5995;178
SDCC.ci;07/03/2025;6445;6445;6400;6400;5696
SDCC.ci;07/04/2025;6400;6495;6400;6495;244
SDCC.ci;07/05/2025;5900;6130;5900;6130;1695
SDCC.ci;07/07/2025;5695;6100;5695;6100;693
SDCC.ci;07/08/2024;5550;5550;5400;5400;1747
SDCC.ci;07/10/2024;5450;5450;5400;5400;1093
SDCC.ci;07/11/2024;5350;5350;5350;5350;419
SDCC.ci;08/04/2025;6400;6480;6400;6480;305
SDCC.ci;08/05/2025;6100;6100;6050;6050;8588
SDCC.ci;08/07/2024;5340;5340;5330;5330;1258
SDCC.ci;08/07/2025;6100;6100;6050;6050;223
SDCC.ci;08/08/2024;5320;5520;5320;5520;2874
SDCC.ci;08/10/2024;5350;5400;5350;5400;821
SDCC.ci;08/11/2024;5300;5350;5300;5350;1112
SDCC.ci;09/04/2025;6480;6480;6320;6320;833
SDCC.ci;09/05/2025;6040;6090;6040;6090;687
SDCC.ci;09/07/2024;5440;5440;5430;5430;239
SDCC.ci;09/07/2025;6050;6050;5805;5805;255
SDCC.ci;09/08/2024;5510;5510;5500;5500;1293
SDCC.ci;09/09/2024;5965;5965;5950;5950;856
