symbole;date;ouverture;haut;bas;cloture;volume
SGBC.ci;01/04/2025;21900;21900;21895;21895;578
SGBC.ci;01/05/2025;22000;22000;21900;21900;423
SGBC.ci;01/07/2024;19025;19105;19025;19105;347
SGBC.ci;01/07/2025;24000;25000;24000;25000;967
SGBC.ci;01/08/2024;20155;20470;20155;20470;10583
SGBC.ci;01/10/2024;19500;19500;19300;19300;799
SGBC.ci;01/11/2024;19800;19800;19800;19800;3300
SGBC.ci;02/04/2025;21900;21900;21895;21895;418
SGBC.ci;02/05/2025;21900;21900;21890;21890;6739
SGBC.ci;02/06/2025;22000;22000;21850;21850;1263
SGBC.ci;02/07/2024;19250;19425;19250;19425;62
SGBC.ci;02/07/2025;24850;25000;24850;25000;190
SGBC.ci;02/08/2024;20470;20490;20470;20490;3464
SGBC.ci;02/09/2024;20350;20350;20300;20300;334
SGBC.ci;02/10/2024;19150;19375;19150;19375;6679
SGBC.ci;02/12/2024;19900;19900;19600;19600;498
SGBC.ci;03/02/2025;20895;20895;20800;20800;1114
SGBC.ci;03/03/2025;22400;22450;22400;22450;455
SGBC.ci;03/04/2025;21900;21900;21895;21895;633
SGBC.ci;03/06/2025;21995;22000;21995;22000;8108
SGBC.ci;03/07/2024;19500;19500;19450;19450;6832
SGBC.ci;03/07/2025;25000;25000;25000;25000;404
SGBC.ci;03/09/2024;20300;20300;20295;20295;2010
SGBC.ci;03/10/2024;19340;19650;19340;19650;473
SGBC.ci;03/12/2024;19625;19625;19600;19600;456
SGBC.ci;04/02/2025;20790;21000;20790;21000;2733
SGBC.ci;04/03/2025;22500;22500;22000;22000;3913
SGBC.ci;04/04/2025;21895;21895;21550;21550;1782
SGBC.ci;04/06/2025;22000;22100;22000;22100;11000
SGBC.ci;04/07/2024;19425;19425;19400;19400;411
SGBC.ci;04/07/2025;25000;25000;25000;25000;292
SGBC.ci;04/09/2024;20300;20350;20300;20350;869
SGBC.ci;04/10/2024;19650;19850;19650;19850;235
SGBC.ci;04/11/2024;19800;19800;19800;19800;1202
SGBC.ci;04/12/2024;19800;19800;19350;19350;395
SGBC.ci;05/02/2025;21000;21455;21000;21455;395
SGBC.ci;05/03/2025;22110;22500;22110;22500;530
SGBC.ci;05/05/2025;21890;21890;21800;21800;480
SGBC.ci;05/06/2025;22350;22500;22350;22500;210
SGBC.ci;05/07/2024;19500;19500;19500;19500;128
SGBC.ci;05/08/2024;20490;20490;20470;20470;437
SGBC.ci;05/09/2024;20350;20350;19800;19800;4543
SGBC.ci;05/11/2024;19800;19800;19700;19700;340
SGBC.ci;05/12/2024;19350;19600;19350;19600;976
SGBC.ci;06/02/2025;21455;21890;21455;21890;2490
SGBC.ci;06/03/2025;22220;22220;22215;22215;213
SGBC.ci;06/05/2025;21800;22000;21800;22000;644
SGBC.ci;06/08/2024;20400;20470;20400;20470;292
SGBC.ci;06/09/2024;19800;19810;19800;19810;280
SGBC.ci;06/11/2024;19700;19800;19700;19800;1976
SGBC.ci;06/12/2024;19600;19600;19400;19400;1370
SGBC.ci;07/02/2025;21890;22500;21890;22500;414
SGBC.ci;07/03/2025;22220;22220;22150;22150;228
SGBC.ci;07/04/2025;21900;21900;21700;21700;1176
SGBC.ci;07/05/2025;21550;21845;21550;21845;107
SGBC.ci;07/07/2025;25000;25300;25000;25300;1608
SGBC.ci;07/08/2024;20400;20470;20400;20470;292
SGBC.ci;07/10/2024;19500;19850;19500;19850;1630
SGBC.ci;07/11/2024;19800;19800;19600;19600;244
SGBC.ci;08/04/2025;21900;21900;21900;21900;1963
SGBC.ci;08/05/2025;21845;21845;21500;21500;3852
SGBC.ci;08/07/2024;19950;19950;19205;19205;1243
SGBC.ci;08/07/2025;25010;25010;24700;24700;2218
SGBC.ci;08/08/2024;20400;20450;20400;20450;3885
SGBC.ci;08/10/2024;20000;20000;19995;19995;219
SGBC.ci;08/11/2024;19600;19600;19600;19600;359
SGBC.ci;09/04/2025;21895;21900;21895;21900;792
SGBC.ci;09/05/2025;21900;21900;21600;21600;182
SGBC.ci;09/07/2024;19205;19205;19205;19205;903
SGBC.ci;09/07/2025;25200;25200;25100;25100;396
SGBC.ci;09/08/2024;20300;20450;20300;20450;749
SGBC.ci;09/09/2024;19810;20000;19810;20000;268
SGBC.ci;09/10/2024;20000;20000;19990;19990;37
SGBC.ci;09/12/2024;19400;19500;19400;19500;171
SGBC.ci;10/02/2025;22495;22495;22200;22200;853
SGBC.ci;10/03/2025;22160;22160;21895;21895;1249
SGBC.ci;10/04/2025;21900;21900;21900;21900;240
SGBC.ci;10/06/2025;22490;22510;22490;22510;9681
SGBC.ci;10/07/2024;19375;19740;19375;19740;203
SGBC.ci;10/07/2025;25100;25100;25000;25000;108
SGBC.ci;10/09/2024;20295;20295;20295;20295;9313
SGBC.ci;10/10/2024;19975;19975;19650;19650;456
SGBC.ci;10/12/2024;19595;19600;19595;19600;18031
SGBC.ci;11/02/2025;22095;22095;21995;21995;1224
SGBC.ci;11/03/2025;21890;21890;21890;21890;1135
SGBC.ci;11/04/2025;21900;21900;21850;21850;2536
SGBC.ci;11/06/2025;23185;23185;23045;23045;859
SGBC.ci;11/07/2024;19740;19740;19740;19740;63
SGBC.ci;11/07/2025;25200;25200;25005;25005;4885
SGBC.ci;11/09/2024;20295;20295;20290;20290;738
SGBC.ci;11/10/2024;19985;19985;19650;19650;740
SGBC.ci;11/11/2024;19600;19600;19500;19500;1180
SGBC.ci;11/12/2024;19500;19500;19300;19300;1865
SGBC.ci;12/02/2025;21980;21990;21980;21990;1957
SGBC.ci;12/03/2025;21890;21890;21850;21850;1158
SGBC.ci;12/05/2025;21900;21900;21850;21850;1584
SGBC.ci;12/06/2025;23045;23100;23045;23100;7761
SGBC.ci;12/07/2024;19740;19740;19740;19740;163
SGBC.ci;12/08/2024;20450;20450;20450;20450;330
SGBC.ci;12/09/2024;20280;20290;20280;20290;374
SGBC.ci;12/11/2024;19300;19500;19300;19500;9156
SGBC.ci;12/12/2024;19300;19300;19300;19300;562
SGBC.ci;13/02/2025;21995;21995;21000;21000;2302
SGBC.ci;13/03/2025;21850;22200;21850;22200;31369
SGBC.ci;13/05/2025;21900;21900;21600;21600;1254
SGBC.ci;13/06/2025;23100;23500;23100;23500;1053
SGBC.ci;13/08/2024;20440;20450;20440;20450;1484
SGBC.ci;13/09/2024;20280;20280;20005;20005;390
SGBC.ci;13/11/2024;19500;19500;19500;19500;10887
SGBC.ci;13/12/2024;19210;19600;19210;19600;228
SGBC.ci;14/02/2025;21895;21995;21895;21995;652
SGBC.ci;14/03/2025;21990;21990;21900;21900;271
SGBC.ci;14/04/2025;21850;21900;21850;21900;6794
SGBC.ci;14/05/2025;22000;22000;21995;21995;28164
SGBC.ci;14/07/2025;25200;25200;25200;25200;295
SGBC.ci;14/08/2024;20500;20500;20500;20500;165
SGBC.ci;14/10/2024;19650;19650;19500;19500;649
SGBC.ci;14/11/2024;19425;19550;19425;19550;175
SGBC.ci;15/04/2025;21895;21895;21805;21805;796
SGBC.ci;15/05/2025;21995;21995;21995;21995;932
SGBC.ci;15/07/2024;19500;19900;19500;19900;638
SGBC.ci;15/08/2024;20500;20500;20500;20500;165
SGBC.ci;15/10/2024;19400;19400;19400;19400;1999
SGBC.ci;15/11/2024;19425;19550;19425;19550;175
SGBC.ci;16/04/2025;21900;21900;21900;21900;2280
SGBC.ci;16/05/2025;21995;21995;21995;21995;189
SGBC.ci;16/06/2025;23500;23890;23500;23890;6013
SGBC.ci;16/07/2024;19750;19900;19750;19900;2055
SGBC.ci;16/08/2024;20100;20450;20100;20450;1209
SGBC.ci;16/09/2024;20200;20200;20200;20200;896
SGBC.ci;16/10/2024;19500;19500;19300;19300;241
SGBC.ci;16/12/2024;19300;19600;19300;19600;94
SGBC.ci;17/02/2025;22000;22000;21990;21990;832
SGBC.ci;17/03/2025;21900;21900;21850;21850;756
SGBC.ci;17/04/2025;21900;22105;21900;22105;177
SGBC.ci;17/06/2025;23800;23800;23800;23800;1368
SGBC.ci;17/07/2024;19900;19900;19900;19900;202
SGBC.ci;17/09/2024;20005;20200;20005;20200;140
SGBC.ci;17/10/2024;19300;19640;19300;19640;575
SGBC.ci;17/12/2024;19600;19600;19500;19500;3156
SGBC.ci;18/02/2025;21990;21990;21850;21850;1655
SGBC.ci;18/03/2025;21850;21850;21850;21850;1331
SGBC.ci;18/04/2025;22105;22105;22000;22000;185
SGBC.ci;18/06/2025;23800;23890;23800;23890;4210
SGBC.ci;18/07/2024;19900;20500;19900;20500;7846
SGBC.ci;18/09/2024;20195;20195;20195;20195;2665
SGBC.ci;18/10/2024;19640;19640;19300;19300;739
SGBC.ci;18/11/2024;19550;19550;19460;19460;1630
SGBC.ci;18/12/2024;19600;19605;19600;19605;218
SGBC.ci;19/02/2025;21850;21900;21850;21900;1419
SGBC.ci;19/03/2025;21895;21895;21850;21850;516
SGBC.ci;19/05/2025;22000;22000;21990;21990;3027
SGBC.ci;19/06/2025;23890;24610;23890;24610;2217
SGBC.ci;19/07/2024;20500;20500;20500;20500;705
SGBC.ci;19/08/2024;20440;20440;20440;20440;186
SGBC.ci;19/09/2024;20200;20200;20005;20005;1233
SGBC.ci;19/11/2024;19460;19500;19460;19500;6204
SGBC.ci;19/12/2024;19610;19610;19600;19600;3098
SGBC.ci;20/02/2025;21900;21900;21900;21900;220
SGBC.ci;20/03/2025;21900;21900;21695;21695;1633
SGBC.ci;20/05/2025;21800;21955;21800;21955;1091
SGBC.ci;20/06/2025;24000;24610;24000;24610;2030
SGBC.ci;20/08/2024;20440;20440;20430;20430;817
SGBC.ci;20/09/2024;20100;20100;19800;19800;1724
SGBC.ci;20/11/2024;19500;19500;19500;19500;98
SGBC.ci;20/12/2024;19605;19895;19605;19895;741
SGBC.ci;21/02/2025;21900;21900;21900;21900;39547
SGBC.ci;21/03/2025;21900;21900;21900;21900;1981
SGBC.ci;21/04/2025;22105;22105;22000;22000;185
SGBC.ci;21/05/2025;21955;21955;21850;21850;759
SGBC.ci;21/08/2024;19950;20300;19950;20300;4677
SGBC.ci;21/10/2024;19300;19300;19300;19300;1097
SGBC.ci;21/11/2024;19500;19500;19400;19400;942
SGBC.ci;22/04/2025;22105;22510;22105;22510;148
SGBC.ci;22/05/2025;21850;21900;21850;21900;306
SGBC.ci;22/07/2024;20450;20450;20445;20445;220
SGBC.ci;22/08/2024;20300;20300;20300;20300;607
SGBC.ci;22/10/2024;19400;19500;19400;19500;345
SGBC.ci;22/11/2024;19500;19500;19300;19300;1698
SGBC.ci;23/04/2025;22510;22510;22500;22500;682
SGBC.ci;23/05/2025;21995;22010;21995;22010;2348
SGBC.ci;23/06/2025;24610;24610;24610;24610;307
SGBC.ci;23/07/2024;20500;20500;20450;20450;4291
SGBC.ci;23/08/2024;20300;20300;20275;20275;361
SGBC.ci;23/09/2024;19985;19985;19800;19800;2323
SGBC.ci;23/10/2024;19400;19405;19400;19405;705
SGBC.ci;23/12/2024;19850;19850;19850;19850;21
SGBC.ci;24/02/2025;21900;21900;21900;21900;168
SGBC.ci;24/03/2025;21900;21900;21900;21900;280
SGBC.ci;24/04/2025;22495;22495;22200;22200;866
SGBC.ci;24/06/2025;24610;24610;24500;24500;189
SGBC.ci;24/07/2024;20155;20305;20155;20305;554
SGBC.ci;24/09/2024;19795;19800;19795;19800;301
SGBC.ci;24/10/2024;19500;19505;19500;19505;1816
SGBC.ci;24/12/2024;19995;19995;19995;19995;5028
SGBC.ci;25/02/2025;21800;21800;21700;21700;2005
SGBC.ci;25/03/2025;21850;21900;21850;21900;1421
SGBC.ci;25/04/2025;22200;22200;22110;22110;172
SGBC.ci;25/06/2025;24500;24610;24500;24610;3591
SGBC.ci;25/07/2024;20400;20400;20305;20305;42
SGBC.ci;25/09/2024;19875;19875;19725;19725;573
SGBC.ci;25/10/2024;20195;20195;19500;19500;823
SGBC.ci;25/11/2024;19300;19300;19300;19300;1585
SGBC.ci;25/12/2024;19895;19995;19895;19995;5028
SGBC.ci;26/02/2025;21990;22000;21990;22000;6741
SGBC.ci;26/03/2025;21850;21850;21850;21850;362
SGBC.ci;26/05/2025;21900;21900;21850;21850;2504
SGBC.ci;26/06/2025;24610;24610;24605;24605;3374
SGBC.ci;26/07/2024;20305;20500;20305;20500;1030
SGBC.ci;26/08/2024;19900;20000;19900;20000;513
SGBC.ci;26/09/2024;19725;19725;19650;19650;3506
SGBC.ci;26/11/2024;19550;19800;19550;19800;260
SGBC.ci;26/12/2024;20000;20000;20000;20000;785
SGBC.ci;27/01/2025;20000;20000;20000;20000;652
SGBC.ci;27/03/2025;21850;21850;21850;21850;362
SGBC.ci;27/05/2025;21850;21850;21850;21850;1425
SGBC.ci;27/06/2025;24500;24650;24500;24650;4868
SGBC.ci;27/08/2024;20295;20295;20295;20295;838
SGBC.ci;27/09/2024;19650;19700;19650;19700;10227
SGBC.ci;27/11/2024;19600;19800;19600;19800;232
