symbole;date;ouverture;haut;bas;cloture;volume
SICC.ci;01/04/2025;3375;3645;3375;3645;131
SICC.ci;01/05/2025;3290;3290;3290;3290;799
SICC.ci;01/07/2025;3310;3310;3310;3310;2
SICC.ci;01/10/2024;2825;2825;2825;2825;5
SICC.ci;01/11/2024;3225;3225;3225;3225;5
SICC.ci;02/06/2025;3450;3450;3450;3450;1
SICC.ci;02/07/2024;3145;3145;3145;3145;25
SICC.ci;02/07/2025;3555;3555;3545;3545;152
SICC.ci;02/08/2024;3000;3000;3000;3000;2
SICC.ci;02/10/2024;2825;2825;2825;2825;5
SICC.ci;03/02/2025;3940;3940;3940;3940;13
SICC.ci;03/03/2025;3645;3645;3640;3640;2
SICC.ci;03/06/2025;3440;3440;3440;3440;5
SICC.ci;03/07/2024;3145;3145;3145;3145;25
SICC.ci;03/07/2025;3535;3535;3535;3535;94
SICC.ci;04/03/2025;3635;3635;3635;3635;116
SICC.ci;04/06/2025;3445;3445;3440;3440;52
SICC.ci;04/07/2024;3100;3100;3000;3000;35
SICC.ci;04/10/2024;2825;2825;2825;2825;72
SICC.ci;04/11/2024;3210;3210;3210;3210;10
SICC.ci;05/02/2025;3940;3940;3940;3940;1
SICC.ci;05/03/2025;3645;3645;3630;3630;155
SICC.ci;05/05/2025;3290;3290;3290;3290;81
SICC.ci;05/06/2025;3440;3440;3440;3440;2
SICC.ci;05/07/2024;3100;3100;3100;3100;12
SICC.ci;05/08/2024;3005;3005;3005;3005;1
SICC.ci;05/12/2024;3705;3705;3705;3705;2
SICC.ci;06/03/2025;3635;3635;3615;3615;301
SICC.ci;06/05/2025;3400;3400;3100;3100;250
SICC.ci;06/08/2024;3005;3005;3005;3005;1
SICC.ci;06/12/2024;3705;3705;3705;3705;4
SICC.ci;07/03/2025;3615;3615;3615;3615;14
SICC.ci;07/04/2025;3375;3595;3375;3595;3
SICC.ci;07/07/2025;3535;3535;3535;3535;23
SICC.ci;07/10/2024;2825;2825;2825;2825;72
SICC.ci;08/04/2025;3375;3375;3350;3350;93
SICC.ci;08/05/2025;3105;3310;3105;3310;377
SICC.ci;08/07/2024;3100;3100;3100;3100;12
SICC.ci;08/07/2025;3800;3800;3500;3500;48
