symbole;date;ouverture;haut;bas;cloture;volume
SIVC.ci;01/02/2010;1000;1000;1000;1000;126
SIVC.ci;01/03/2010;1000;1000;1000;1000;15
SIVC.ci;01/04/2010;999;999;999;999;10
SIVC.ci;01/04/2025;505;505;500;500;1207
SIVC.ci;01/05/2025;505;505;500;500;164
SIVC.ci;01/07/2024;500;500;500;500;51
SIVC.ci;01/07/2025;535;535;525;525;265
SIVC.ci;01/08/2024;545;575;545;575;1052
SIVC.ci;01/10/2024;560;560;525;525;2301
SIVC.ci;01/11/2024;520;520;520;520;24
SIVC.ci;02/02/2010;1000;1000;1000;1000;55
SIVC.ci;02/03/2010;990;990;990;990;10
SIVC.ci;02/04/2010;999;999;999;999;8
SIVC.ci;02/04/2025;500;505;500;505;2581
SIVC.ci;02/05/2025;500;505;500;505;788
SIVC.ci;02/06/2025;530;550;530;550;618
SIVC.ci;02/07/2024;500;500;500;500;11
SIVC.ci;02/07/2025;540;540;530;530;328
SIVC.ci;02/08/2024;575;575;575;575;20756
SIVC.ci;02/09/2024;650;650;650;650;363
SIVC.ci;02/10/2024;535;535;520;520;2781
SIVC.ci;02/12/2024;515;515;495;495;294
SIVC.ci;03/02/2010;1000;1000;1000;1000;20
SIVC.ci;03/02/2025;495;495;490;490;617
SIVC.ci;03/03/2010;990;990;990;990;40
SIVC.ci;03/03/2025;510;510;510;510;328
SIVC.ci;03/04/2025;505;505;500;500;331
SIVC.ci;03/06/2025;545;545;535;535;764
SIVC.ci;03/07/2024;500;500;495;495;26
SIVC.ci;03/07/2025;540;540;530;530;318
SIVC.ci;03/09/2024;650;650;625;625;1677
SIVC.ci;03/10/2024;520;540;520;540;15791
SIVC.ci;03/12/2024;530;530;500;500;2151
SIVC.ci;04/02/2010;1000;1000;1000;1000;25
SIVC.ci;04/02/2025;490;490;480;480;401
SIVC.ci;04/03/2025;510;510;510;510;262
SIVC.ci;04/04/2025;510;510;500;500;1127
SIVC.ci;04/06/2025;545;545;530;530;875
SIVC.ci;04/07/2024;495;495;490;490;730
SIVC.ci;04/07/2025;540;540;530;530;173
SIVC.ci;04/09/2024;650;650;645;645;1021
SIVC.ci;04/10/2024;540;540;535;535;6933
SIVC.ci;04/11/2024;520;520;520;520;5180
SIVC.ci;04/12/2024;495;510;495;510;940
SIVC.ci;05/01/2010;920;920;920;920;70
SIVC.ci;05/02/2010;1000;1000;1000;1000;20
SIVC.ci;05/02/2025;490;490;485;485;144
SIVC.ci;05/03/2025;505;505;505;505;834
SIVC.ci;05/05/2025;505;505;505;505;50
SIVC.ci;05/06/2025;520;535;520;535;222
SIVC.ci;05/07/2024;490;490;490;490;139
SIVC.ci;05/08/2024;575;575;565;565;509
SIVC.ci;05/09/2024;625;640;625;640;206
SIVC.ci;05/11/2024;500;535;500;535;2536
SIVC.ci;05/12/2024;530;530;500;500;2375
SIVC.ci;06/01/2010;920;920;920;920;10
SIVC.ci;06/02/2025;490;490;455;455;920
SIVC.ci;06/03/2025;500;500;500;500;222
SIVC.ci;06/04/2010;1000;1000;1000;1000;248
SIVC.ci;06/05/2025;505;505;505;505;3940
SIVC.ci;06/08/2024;570;570;565;565;52
SIVC.ci;06/09/2024;640;640;595;595;520
SIVC.ci;06/11/2024;535;535;530;530;866
SIVC.ci;06/12/2024;500;515;500;515;778
SIVC.ci;07/01/2010;920;920;920;920;19
SIVC.ci;07/02/2025;460;485;460;485;142
SIVC.ci;07/03/2025;495;500;495;500;1373
SIVC.ci;07/04/2010;1000;1000;1000;1000;62
SIVC.ci;07/04/2025;500;505;500;505;13
SIVC.ci;07/05/2025;520;540;520;540;17552
SIVC.ci;07/07/2025;530;530;530;530;1407
SIVC.ci;07/08/2024;570;570;565;565;52
SIVC.ci;07/10/2024;535;535;500;500;5244
SIVC.ci;07/11/2024;525;525;520;520;1627
SIVC.ci;08/02/2010;1000;1000;1000;1000;42
SIVC.ci;08/03/2010;950;950;950;950;200
SIVC.ci;08/04/2025;500;500;500;500;1576
SIVC.ci;08/05/2025;515;575;515;575;1746
SIVC.ci;08/07/2024;490;490;465;465;259
SIVC.ci;08/07/2025;535;535;530;530;261
SIVC.ci;08/08/2024;570;570;570;570;3211
SIVC.ci;08/10/2024;535;535;500;500;1191
SIVC.ci;08/11/2024;520;520;520;520;263
SIVC.ci;09/02/2010;1000;1000;1000;1000;104
SIVC.ci;09/03/2010;950;950;950;950;307
SIVC.ci;09/04/2025;500;505;500;505;20746
SIVC.ci;09/05/2025;570;595;570;595;1248
SIVC.ci;09/07/2024;490;490;490;490;788
SIVC.ci;09/07/2025;530;530;530;530;118
SIVC.ci;09/08/2024;550;560;550;560;378
SIVC.ci;09/09/2024;590;590;585;585;920
SIVC.ci;09/10/2024;505;505;500;500;6082
SIVC.ci;09/12/2024;515;515;510;510;1423
SIVC.ci;10/02/2025;485;490;485;490;811
SIVC.ci;10/03/2025;500;500;500;500;255
SIVC.ci;10/04/2025;500;500;495;495;17925
SIVC.ci;10/06/2025;525;565;525;565;4992
SIVC.ci;10/07/2024;490;490;490;490;1218
SIVC.ci;10/07/2025;530;530;525;525;229
SIVC.ci;10/09/2024;595;595;595;595;333
SIVC.ci;10/10/2024;530;530;475;475;1876
SIVC.ci;10/12/2024;515;515;510;510;267
SIVC.ci;11/02/2010;972;972;972;972;165
SIVC.ci;11/02/2025;490;490;490;490;624
SIVC.ci;11/03/2025;500;500;495;495;290
SIVC.ci;11/04/2025;495;495;495;495;1978
SIVC.ci;11/06/2025;565;565;555;555;1314
SIVC.ci;11/07/2024;490;490;490;490;103
SIVC.ci;11/07/2025;525;525;525;525;19251
SIVC.ci;11/09/2024;555;595;555;595;11772
SIVC.ci;11/10/2024;475;505;475;505;4084
SIVC.ci;11/11/2024;490;490;485;485;7783
SIVC.ci;11/12/2024;515;515;510;510;41
SIVC.ci;12/02/2010;950;950;950;950;50
SIVC.ci;12/02/2025;490;495;490;495;53
SIVC.ci;12/03/2010;1000;1000;1000;1000;55
SIVC.ci;12/03/2025;495;510;495;510;782
SIVC.ci;12/05/2025;595;595;585;585;5743
SIVC.ci;12/06/2025;550;550;550;550;197
SIVC.ci;12/07/2024;490;490;490;490;812
SIVC.ci;12/08/2024;555;570;555;570;196
SIVC.ci;12/09/2024;595;595;555;555;2996
SIVC.ci;12/11/2024;490;500;490;500;794
SIVC.ci;12/12/2024;510;510;510;510;28
SIVC.ci;13/02/2025;495;495;490;490;130
SIVC.ci;13/03/2025;520;520;500;500;1018
SIVC.ci;13/05/2025;565;565;560;560;14885
SIVC.ci;13/06/2025;550;550;510;510;5362
SIVC.ci;13/08/2024;570;605;570;605;1655
SIVC.ci;13/09/2024;555;555;555;555;1407
SIVC.ci;13/11/2024;520;520;500;500;986
SIVC.ci;13/12/2024;510;510;500;500;254
SIVC.ci;14/02/2025;490;490;490;490;430
SIVC.ci;14/03/2025;500;505;500;505;4329
SIVC.ci;14/04/2010;1050;1050;1050;1050;50
SIVC.ci;14/04/2025;500;500;460;460;2228
SIVC.ci;14/05/2025;545;545;535;535;4699
SIVC.ci;14/07/2025;525;525;510;510;688
SIVC.ci;14/08/2024;650;650;650;650;163
SIVC.ci;14/10/2024;510;510;505;505;3181
SIVC.ci;14/11/2024;500;500;500;500;1109
SIVC.ci;15/01/2010;1000;1000;1000;1000;63
SIVC.ci;15/03/2010;1000;1000;1000;1000;25
SIVC.ci;15/04/2010;1000;1000;1000;1000;223
SIVC.ci;15/04/2025;465;465;460;460;10770
SIVC.ci;15/05/2025;535;535;535;535;1557
SIVC.ci;15/07/2024;490;490;490;490;67
SIVC.ci;15/08/2024;650;650;650;650;163
SIVC.ci;15/10/2024;505;520;505;520;1305
SIVC.ci;15/11/2024;500;500;500;500;1109
SIVC.ci;16/03/2010;1000;1000;1000;1000;70
SIVC.ci;16/04/2025;465;465;465;465;25853
SIVC.ci;16/05/2025;535;535;530;530;512
SIVC.ci;16/06/2025;515;545;515;545;1896
SIVC.ci;16/07/2024;490;490;490;490;4952
SIVC.ci;16/08/2024;655;695;655;695;1143
SIVC.ci;16/09/2024;565;565;565;565;490
SIVC.ci;16/10/2024;520;520;510;510;981
SIVC.ci;16/12/2024;520;520;500;500;332
SIVC.ci;17/02/2010;960;960;960;960;37
SIVC.ci;17/02/2025;490;490;490;490;199
SIVC.ci;17/03/2010;1000;1000;1000;1000;9
SIVC.ci;17/03/2025;510;510;505;505;4974
SIVC.ci;17/04/2025;470;470;470;470;3672
SIVC.ci;17/06/2025;545;545;505;505;2876
SIVC.ci;17/07/2024;490;500;490;500;462
SIVC.ci;17/09/2024;555;565;555;565;6195
