symbole;date;ouverture;haut;bas;cloture;volume
SLBC.ci;01/04/2025;14200;14500;14200;14500;914
SLBC.ci;01/05/2025;13800;13800;13800;13800;1
SLBC.ci;01/07/2025;16900;16900;16820;16820;144
SLBC.ci;01/10/2024;11795;11795;11795;11795;3357
SLBC.ci;01/11/2024;15500;15500;15500;15500;15
SLBC.ci;02/04/2025;14500;14500;13950;13950;153
SLBC.ci;02/05/2025;13850;13850;13800;13800;19
SLBC.ci;02/06/2025;16900;16900;16900;16900;52
SLBC.ci;02/07/2025;16820;17290;16820;17290;34
SLBC.ci;02/10/2024;12675;12675;12005;12005;5938
SLBC.ci;02/12/2024;14245;14245;14000;14000;79
SLBC.ci;03/02/2025;13005;13800;13005;13800;100
SLBC.ci;03/03/2025;15000;15000;14995;14995;39
SLBC.ci;03/04/2025;14000;14495;14000;14495;62
SLBC.ci;03/06/2025;16795;16900;16795;16900;450
SLBC.ci;03/07/2025;17290;17975;17290;17975;183
SLBC.ci;03/10/2024;12500;12905;12500;12905;4023
SLBC.ci;03/12/2024;14245;14990;14245;14990;167
SLBC.ci;04/02/2025;13800;13900;13800;13900;152
SLBC.ci;04/03/2025;15000;15000;14995;14995;37
SLBC.ci;04/04/2025;14495;14495;14400;14400;29
SLBC.ci;04/06/2025;16900;16900;16900;16900;35
SLBC.ci;04/07/2025;18000;19320;18000;19320;90
SLBC.ci;04/10/2024;13870;13870;13505;13505;2002
SLBC.ci;04/11/2024;15395;15395;15395;15395;155
SLBC.ci;04/12/2024;14990;15050;14990;15050;176
SLBC.ci;05/02/2025;13900;13900;13900;13900;98
SLBC.ci;05/03/2025;14800;14800;14800;14800;13
SLBC.ci;05/05/2025;13940;13945;13940;13945;168
SLBC.ci;05/06/2025;16900;16900;16205;16205;38
SLBC.ci;05/11/2024;15395;15395;15050;15050;119
SLBC.ci;05/12/2024;14990;14990;13950;13950;10
SLBC.ci;06/02/2025;13900;13900;13900;13900;93
SLBC.ci;06/03/2025;14900;14900;14800;14800;19
SLBC.ci;06/05/2025;13945;14000;13945;14000;80
SLBC.ci;06/11/2024;15295;15295;15000;15000;216
SLBC.ci;06/12/2024;14995;14995;14995;14995;31
SLBC.ci;07/02/2025;13950;13950;13900;13900;48
SLBC.ci;07/03/2025;14850;14850;14850;14850;855
SLBC.ci;07/04/2025;14400;14400;14200;14200;27
SLBC.ci;07/05/2025;13945;14500;13945;14500;1883
SLBC.ci;07/07/2025;19320;19320;19315;19315;27
SLBC.ci;07/10/2024;14510;14510;14495;14495;1601
SLBC.ci;07/11/2024;14995;14995;14495;14495;299
SLBC.ci;08/04/2025;14400;14500;14400;14500;320
SLBC.ci;08/05/2025;14800;14800;14800;14800;54
SLBC.ci;08/07/2025;19310;19310;17870;17870;72
SLBC.ci;08/10/2024;15510;15510;15505;15505;525
SLBC.ci;08/11/2024;14495;14495;14200;14200;71
SLBC.ci;09/04/2025;14500;14500;14500;14500;12
SLBC.ci;09/05/2025;14800;14995;14800;14995;56
SLBC.ci;09/07/2025;17870;17870;17000;17000;75
SLBC.ci;09/10/2024;16665;16665;16600;16600;5455
SLBC.ci;09/12/2024;14995;14995;14970;14970;24
SLBC.ci;10/02/2025;13800;13900;13800;13900;111
