symbole;date;ouverture;haut;bas;cloture;volume
STAC.ci;01/04/2025;585;585;585;585;453
STAC.ci;01/07/2024;695;695;695;695;186
STAC.ci;01/07/2025;565;565;560;560;2169
STAC.ci;01/08/2024;765;770;765;770;60
STAC.ci;01/10/2024;700;700;700;700;62
STAC.ci;01/11/2024;650;650;650;650;43
STAC.ci;02/04/2025;595;595;545;545;11021
STAC.ci;02/05/2025;595;595;595;595;873
STAC.ci;02/06/2025;540;540;540;540;112
STAC.ci;02/07/2024;700;700;690;690;392
STAC.ci;02/07/2025;560;560;560;560;40
STAC.ci;02/08/2024;780;780;725;725;1021
STAC.ci;02/09/2024;720;720;685;685;146
STAC.ci;02/10/2024;700;700;700;700;51
STAC.ci;02/12/2024;540;540;540;540;4
STAC.ci;03/02/2025;465;490;465;490;577
STAC.ci;03/03/2025;595;595;595;595;5221
STAC.ci;03/04/2025;550;555;550;555;1362
STAC.ci;03/06/2025;540;540;540;540;593
STAC.ci;03/07/2024;700;740;700;740;265
STAC.ci;03/07/2025;560;560;560;560;632
STAC.ci;03/09/2024;680;700;680;700;125
STAC.ci;03/10/2024;660;700;660;700;100
STAC.ci;03/12/2024;540;540;535;535;65
STAC.ci;04/02/2025;495;510;495;510;4125
STAC.ci;04/03/2025;595;605;595;605;352
STAC.ci;04/04/2025;555;555;555;555;240
STAC.ci;04/06/2025;545;545;545;545;671
STAC.ci;04/07/2024;735;735;725;725;504
STAC.ci;04/07/2025;580;580;570;570;10
STAC.ci;04/09/2024;680;680;650;650;391
STAC.ci;04/10/2024;700;700;690;690;13
STAC.ci;04/11/2024;650;650;650;650;16
STAC.ci;04/12/2024;535;540;535;540;1338
STAC.ci;05/02/2025;510;525;510;525;1404
STAC.ci;05/03/2025;610;620;610;620;607
STAC.ci;05/05/2025;590;590;580;580;15
STAC.ci;05/06/2025;545;545;510;510;438
STAC.ci;05/07/2024;725;725;720;720;45
STAC.ci;05/08/2024;725;725;725;725;26
STAC.ci;05/09/2024;655;685;655;685;253
STAC.ci;05/11/2024;650;650;650;650;273
STAC.ci;05/12/2024;535;535;535;535;719
STAC.ci;06/02/2025;520;535;520;535;168
STAC.ci;06/03/2025;620;620;620;620;439
STAC.ci;06/05/2025;580;600;580;600;294
STAC.ci;06/08/2024;725;725;725;725;63
STAC.ci;06/09/2024;685;685;650;650;4649
STAC.ci;06/11/2024;610;610;605;605;825
STAC.ci;06/12/2024;535;535;535;535;4
STAC.ci;07/02/2025;535;535;535;535;997
STAC.ci;07/03/2025;580;620;580;620;426
STAC.ci;07/04/2025;560;560;555;555;911
STAC.ci;07/05/2025;600;600;600;600;339
STAC.ci;07/07/2025;570;575;570;575;94
STAC.ci;07/08/2024;725;725;725;725;63
STAC.ci;07/10/2024;690;700;690;700;82
STAC.ci;07/11/2024;650;650;560;560;1484
STAC.ci;08/04/2025;555;555;555;555;130
STAC.ci;08/05/2025;600;600;555;555;24
STAC.ci;08/07/2024;725;740;725;740;83
STAC.ci;08/07/2025;575;575;540;540;318
STAC.ci;08/08/2024;725;725;725;725;35
STAC.ci;08/10/2024;700;700;690;690;388
STAC.ci;08/11/2024;520;560;520;560;259
STAC.ci;09/04/2025;570;570;550;550;735
STAC.ci;09/05/2025;560;560;525;525;5043
STAC.ci;09/07/2024;740;740;740;740;127
STAC.ci;09/07/2025;540;540;540;540;3
STAC.ci;09/08/2024;725;725;700;700;343
STAC.ci;09/09/2024;655;695;655;695;513
STAC.ci;09/10/2024;700;700;670;670;339
STAC.ci;10/02/2025;530;535;530;535;215
STAC.ci;10/03/2025;620;620;620;620;1495
STAC.ci;10/04/2025;510;510;510;510;567
STAC.ci;10/06/2025;545;545;530;530;2464
STAC.ci;10/07/2024;740;740;740;740;373
STAC.ci;10/07/2025;540;540;540;540;28
STAC.ci;10/09/2024;715;715;700;700;176
STAC.ci;10/10/2024;650;650;625;625;579
STAC.ci;10/12/2024;540;540;535;535;281
STAC.ci;11/02/2025;540;540;540;540;1993
STAC.ci;11/03/2025;620;665;620;665;3703
STAC.ci;11/04/2025;500;500;475;475;6483
STAC.ci;11/06/2025;530;530;500;500;2325
STAC.ci;11/07/2024;740;740;740;740;373
STAC.ci;11/07/2025;555;555;540;540;23
STAC.ci;11/09/2024;720;720;700;700;287
STAC.ci;11/10/2024;670;670;650;650;195
STAC.ci;11/11/2024;600;600;600;600;1
STAC.ci;11/12/2024;540;540;540;540;8
STAC.ci;12/02/2025;540;540;540;540;167
STAC.ci;12/03/2025;665;710;665;710;112
STAC.ci;12/05/2025;525;545;525;545;1442
STAC.ci;12/06/2025;535;535;475;475;1035
STAC.ci;12/07/2024;740;740;740;740;30
STAC.ci;12/08/2024;700;700;690;690;201
STAC.ci;12/09/2024;700;700;700;700;100
STAC.ci;12/11/2024;645;645;645;645;27
STAC.ci;12/12/2024;540;540;540;540;61
STAC.ci;13/02/2025;535;540;535;540;138
STAC.ci;13/03/2025;715;715;700;700;692
