symbole;date;ouverture;haut;bas;cloture;volume
UNLC.ci;01/05/2025;10275;10275;10275;10275;5
UNLC.ci;01/07/2025;18180;18180;18180;18180;23
UNLC.ci;01/08/2024;6500;6500;6500;6500;4
UNLC.ci;02/05/2025;10275;11000;10275;11000;11
UNLC.ci;02/07/2025;18440;18440;18440;18440;5
UNLC.ci;02/08/2024;6500;6500;6500;6500;4
UNLC.ci;02/09/2024;6405;6405;6405;6405;6
UNLC.ci;02/12/2024;7850;7850;7850;7850;2
UNLC.ci;03/02/2025;6450;6450;6450;6450;2
UNLC.ci;03/06/2025;11265;11265;11265;11265;2
UNLC.ci;03/07/2024;6500;6500;6500;6500;5
UNLC.ci;03/07/2025;18440;18440;18440;18440;8
UNLC.ci;03/10/2024;7845;7845;7845;7845;4
UNLC.ci;04/06/2025;11265;11265;11265;11265;9
UNLC.ci;04/07/2024;6505;6505;6500;6500;9
UNLC.ci;04/09/2024;6885;6885;6405;6405;2
UNLC.ci;04/10/2024;7800;7800;7800;7800;1
UNLC.ci;05/05/2025;11000;11000;11000;11000;5
UNLC.ci;05/06/2025;11600;11600;11600;11600;9
UNLC.ci;05/07/2024;6505;6505;6500;6500;9
UNLC.ci;05/08/2024;6015;6015;6015;6015;1
UNLC.ci;05/09/2024;6885;6885;6885;6885;3
UNLC.ci;05/11/2024;7850;7850;7850;7850;3
UNLC.ci;05/12/2024;7850;7850;7850;7850;5
UNLC.ci;06/03/2025;6995;6995;6995;6995;8
UNLC.ci;06/05/2025;11000;11000;11000;11000;13
UNLC.ci;06/08/2024;6015;6015;6015;6015;1
UNLC.ci;06/09/2024;7400;7400;7300;7300;21
UNLC.ci;06/12/2024;7850;7850;7850;7850;3
UNLC.ci;07/02/2025;6450;6450;6450;6450;3
UNLC.ci;07/03/2025;6995;6995;6475;6475;7
UNLC.ci;07/05/2025;10500;10710;10500;10710;5
UNLC.ci;07/10/2024;7800;7800;7800;7800;1
UNLC.ci;07/11/2024;7850;7850;7850;7850;2
UNLC.ci;08/04/2025;6575;6575;6575;6575;1
UNLC.ci;08/05/2025;10700;11000;10700;11000;8
UNLC.ci;08/07/2024;6500;6500;6500;6500;2
UNLC.ci;08/11/2024;7850;7850;7850;7850;1
UNLC.ci;09/04/2025;7065;7065;7065;7065;13
UNLC.ci;09/05/2025;11200;11200;10175;10175;22
UNLC.ci;09/07/2024;6500;6500;6500;6500;2
UNLC.ci;09/07/2025;18440;18440;18440;18440;9
UNLC.ci;09/09/2024;7400;7400;7300;7300;21
UNLC.ci;09/12/2024;7850;7850;7850;7850;1
UNLC.ci;10/03/2025;6475;6475;6475;6475;30
UNLC.ci;10/04/2025;7590;7590;7590;7590;8
UNLC.ci;10/06/2025;11950;12470;11950;12470;4
UNLC.ci;10/07/2025;18995;18995;18995;18995;3
UNLC.ci;10/10/2024;7850;7850;7845;7845;22
UNLC.ci;11/02/2025;6495;6495;6495;6495;10
UNLC.ci;11/03/2025;5990;6475;5990;6475;32
UNLC.ci;11/04/2025;7590;7590;7590;7590;1
UNLC.ci;11/06/2025;12470;12845;12470;12845;4
UNLC.ci;11/07/2025;18000;18995;18000;18995;21
UNLC.ci;11/09/2024;7305;7305;7270;7270;20
UNLC.ci;11/10/2024;7850;7850;7845;7845;22
UNLC.ci;12/05/2025;10175;10175;10175;10175;3
UNLC.ci;12/09/2024;7300;7300;7300;7300;8
UNLC.ci;13/03/2025;6960;6960;6960;6960;1
UNLC.ci;13/05/2025;10175;10175;10175;10175;6
UNLC.ci;13/06/2025;12845;12845;12845;12845;13
UNLC.ci;13/08/2024;6015;6015;6015;6015;5
UNLC.ci;13/09/2024;7300;7300;7300;7300;4
UNLC.ci;13/11/2024;7850;7850;7850;7850;1
UNLC.ci;14/02/2025;6930;6930;6930;6930;10
UNLC.ci;14/03/2025;6960;7000;6960;7000;14
UNLC.ci;14/04/2025;7600;7600;7600;7600;1
UNLC.ci;14/07/2025;20415;20415;20415;20415;1
UNLC.ci;14/08/2024;6015;6015;6015;6015;5
