symbole;date;ouverture;haut;bas;cloture;volume
UNXC.ci;01/04/2025;410;410;400;400;3837
UNXC.ci;01/05/2025;420;420;420;420;11457
UNXC.ci;01/07/2024;415;420;415;420;1651
UNXC.ci;01/07/2025;590;590;580;580;541
UNXC.ci;01/08/2024;425;430;425;430;1284
UNXC.ci;01/10/2024;420;420;420;420;356
UNXC.ci;01/11/2024;440;440;440;440;2589
UNXC.ci;02/04/2025;405;405;395;395;1240
UNXC.ci;02/05/2025;450;450;450;450;19130
UNXC.ci;02/06/2025;510;510;505;505;5983
UNXC.ci;02/07/2024;415;450;415;450;3029
UNXC.ci;02/07/2025;580;585;580;585;4170
UNXC.ci;02/08/2024;430;430;430;430;3500
UNXC.ci;02/09/2024;420;420;420;420;1262
UNXC.ci;02/10/2024;420;420;420;420;174
UNXC.ci;02/12/2024;400;400;390;390;2979
UNXC.ci;03/02/2025;385;385;385;385;873
UNXC.ci;03/03/2025;400;410;400;410;4450
UNXC.ci;03/04/2025;395;395;395;395;8329
UNXC.ci;03/06/2025;500;515;500;515;4146
UNXC.ci;03/07/2024;445;445;420;420;7788
UNXC.ci;03/07/2025;585;585;585;585;3300
UNXC.ci;03/09/2024;420;420;400;400;7724
UNXC.ci;03/10/2024;420;420;420;420;4346
UNXC.ci;03/12/2024;395;415;395;415;2692
UNXC.ci;04/02/2025;385;410;385;410;1885
UNXC.ci;04/03/2025;410;410;405;405;1722
UNXC.ci;04/04/2025;395;400;395;400;2052
UNXC.ci;04/06/2025;515;525;515;525;6481
UNXC.ci;04/07/2024;415;420;415;420;9244
UNXC.ci;04/07/2025;585;585;580;580;15315
UNXC.ci;04/09/2024;405;420;405;420;511
UNXC.ci;04/10/2024;415;420;415;420;4592
UNXC.ci;04/11/2024;410;410;410;410;5778
UNXC.ci;04/12/2024;415;420;415;420;1521
UNXC.ci;05/02/2025;415;415;415;415;1212
UNXC.ci;05/03/2025;405;410;405;410;5366
UNXC.ci;05/05/2025;480;480;480;480;5720
UNXC.ci;05/06/2025;525;555;525;555;704
UNXC.ci;05/07/2024;450;450;440;440;3774
UNXC.ci;05/08/2024;435;435;410;410;476
UNXC.ci;05/09/2024;420;420;420;420;571
UNXC.ci;05/11/2024;405;405;390;390;8393
UNXC.ci;05/12/2024;420;420;420;420;505
UNXC.ci;06/02/2025;410;410;400;400;263
UNXC.ci;06/03/2025;410;410;410;410;2605
UNXC.ci;06/05/2025;500;515;500;515;11317
UNXC.ci;06/08/2024;410;410;400;400;7044
UNXC.ci;06/09/2024;415;420;415;420;10151
UNXC.ci;06/11/2024;390;410;390;410;1900
UNXC.ci;06/12/2024;405;405;400;400;5389
UNXC.ci;07/02/2025;410;410;390;390;3566
UNXC.ci;07/03/2025;410;410;410;410;5892
UNXC.ci;07/04/2025;400;400;395;395;2882
UNXC.ci;07/05/2025;515;535;515;535;9963
UNXC.ci;07/07/2025;580;580;580;580;836
UNXC.ci;07/08/2024;410;410;400;400;7044
UNXC.ci;07/10/2024;430;430;430;430;8195
UNXC.ci;07/11/2024;440;440;435;435;2703
UNXC.ci;08/04/2025;395;395;395;395;2716
UNXC.ci;08/05/2025;530;575;530;575;10315
UNXC.ci;08/07/2024;420;430;420;430;3567
UNXC.ci;08/07/2025;595;595;540;540;12514
UNXC.ci;08/08/2024;410;425;410;425;557
UNXC.ci;08/10/2024;425;425;425;425;1275
UNXC.ci;08/11/2024;420;420;405;405;1629
UNXC.ci;09/04/2025;395;395;395;395;2662
UNXC.ci;09/05/2025;615;615;615;615;2512
UNXC.ci;09/07/2024;430;430;430;430;1554
UNXC.ci;09/07/2025;580;580;580;580;13556
UNXC.ci;09/08/2024;425;435;425;435;6716
UNXC.ci;09/09/2024;425;425;405;405;14020
UNXC.ci;09/10/2024;425;440;425;440;4218
UNXC.ci;09/12/2024;400;410;400;410;1031
UNXC.ci;10/02/2025;385;400;385;400;1560
UNXC.ci;10/03/2025;410;410;405;405;8390
UNXC.ci;10/04/2025;395;395;385;385;1437
UNXC.ci;10/06/2025;550;550;550;550;3909
UNXC.ci;10/07/2024;430;430;410;410;3559
UNXC.ci;10/07/2025;575;575;575;575;4693
UNXC.ci;10/09/2024;425;425;425;425;11612
UNXC.ci;10/10/2024;440;470;440;470;4533
UNXC.ci;10/12/2024;410;410;400;400;4498
UNXC.ci;11/02/2025;380;395;380;395;819
