Titre,Periodicite,DateJouissance,DateFin,NbreDifferes,MontantEmis,NbrePeriodes,TauxInteretsNet,ValeurNominale
"TPCI 5,95% 2017-2024",Semestriel,2014-10-24,2027-10-24,4,100000000000.0,14,5.95,10000
ETAT DU SÉNÉGAL 6.3% 2015-2026,Semestriel,2023-11-25,2026-11-25,2,100200000000.0,20,6.3,10000
ETAT DU MALI 6.48% 2017-2026,Annuel,2024-04-20,2026-04-20,2,100000000000.0,7,6.5,10000
CRRH 6.10% 2013-2026,Semestriel,2025-01-17,2026-01-17,0,19161500000.0,24,6.1,10000
"TPBF 6,50% 2018-2026",Semestriel,2018-12-05,2026-12-05,4,75000000000.0,14,6.5,10000
NSIA 2021 5.8% 2025,Annuel,2024-06-21,2031-06-21,2,10000000000.0,10,6.5,10000
"TPCI 6,5% 2018-2027",Annuel,2018-06-21,2027-06-21,2,1000000000.0,10,6.5,10000
"TPBJ 6,50% 2017-2029",Annuel,2017-04-07,2029-04-07,3,171547000000.0,10,6.5,10000
Obligation test fusion 5.6% 2023-2030,Annuel,2023-09-30,2030-09-30,3,100000000000.0,12,5.6,10000
Obligation 6% 2022,Annuel,2022-09-08,2030-09-08,2,100000000000000.0,9,6.0,10000
Obligation 6.0% 2024-2032,Annuel,2024-09-17,2032-09-17,3,1000000000000.0,10,6.0,10000
"TPCI 5,95% 2024-2030",Semestriel,2024-11-10,2030-11-10,4,153331000000.0,14,5.95,9000
